	index	counts	atoms	BA core
0	CHNO_Trihydroxy	373	CHNO	Trihydroxy
1	CHNO_Dihydroxy	242	CHNO	Dihydroxy
2	CHNOS_Trihydroxy	188	CHNOS	Trihydroxy
3	CHN_Trihydroxy	158	CHN	Trihydroxy
4	CHO_Trihydroxy	143	CHO	Trihydroxy
5	CHO_Dihydroxy	99	CHO	Dihydroxy
6	CHN_Dihydroxy	91	CHN	Dihydroxy
7	CHNO_Tetrahydroxy	76	CHNO	Tetrahydroxy
8	CHNO_Monohydroxy	74	CHNO	Monohydroxy
9	CHN_Tetrahydroxy	53	CHN	Tetrahydroxy
10	CHO_Tetrahydroxy	46	CHO	Tetrahydroxy
11	CHO_Monohydroxy	44	CHO	Monohydroxy
12	CHO_Nonhydroxy	31	CHO	Nonhydroxy
13	CHNOS_Dihydroxy	30	CHNOS	Dihydroxy
14	CHNOS_Tetrahydroxy	29	CHNOS	Tetrahydroxy
15	CHNOP_Trihydroxy	28	CHNOP	Trihydroxy
16	CHN_Monohydroxy	25	CHN	Monohydroxy
17	CHNO_Nonhydroxy	21	CHNO	Nonhydroxy
18	CHNOP_Dihydroxy	18	CHNOP	Dihydroxy
19	CHN_Pentahydroxy	17	CHN	Pentahydroxy
20	CHNO_Pentahydroxy	16	CHNO	Pentahydroxy
21	CHNOS_Monohydroxy	13	CHNOS	Monohydroxy
22	CHNOP_Tetrahydroxy	8	CHNOP	Tetrahydroxy
23	CHOS_Trihydroxy	6	CHOS	Trihydroxy
24	CHNOP_Nonhydroxy	6	CHNOP	Nonhydroxy
25	CHS_Trihydroxy	4	CHS	Trihydroxy
26	CHO_Pentahydroxy	4	CHO	Pentahydroxy
27	CHOP_Tetrahydroxy	4	CHOP	Tetrahydroxy
28	CHNOS_Pentahydroxy	4	CHNOS	Pentahydroxy
29	CHS_Dihydroxy	3	CHS	Dihydroxy
30	CHNOP_Monohydroxy	3	CHNOP	Monohydroxy
31	CHS_Monohydroxy	3	CHS	Monohydroxy
32	CHOS_Dihydroxy	3	CHOS	Dihydroxy
33	CHNOS_Nonhydroxy	2	CHNOS	Nonhydroxy
34	CHOS_Monohydroxy	1	CHOS	Monohydroxy
35	CHOP_Nonhydroxy	1	CHOP	Nonhydroxy
36	CHS_Tetrahydroxy	1	CHS	Tetrahydroxy
37	CHOP_Trihydroxy	1	CHOP	Trihydroxy
38	CHS_Pentahydroxy	1	CHS	Pentahydroxy
