Bile,delta,count
Dihydroxy,54.03,17268
Dihydroxy,36.02,12805
Dihydroxy,18.01,12354
Dihydroxy,70.98,11368
Dihydroxy,392.29,5757
Dihydroxy,203.99,5125
Dihydroxy,21,5107
Dihydroxy,88.99,4989
Dihydroxy,39.01,3710
Dihydroxy,57.02,3089
Dihydroxy,17.03,3024
Dihydroxy,107,2793
Dihydroxy,374.28,2611
Dihydroxy,124.03,2469
Dihydroxy,55.02,2383
Dihydroxy,17.01,2062
Dihydroxy,37.01,1880
Dihydroxy,22.01,1674
Dihydroxy,20.03,1282
Dihydroxy,53.03,1265
Dihydroxy,23.02,1031
Dihydroxy,233.05,864
Dihydroxy,0.98,836
Dihydroxy,35.02,749
Dihydroxy,286.21,725
Dihydroxy,73.03,703
Dihydroxy,54.05,680
Dihydroxy,173.13,663
Dihydroxy,107.01,640
Dihydroxy,59.04,638
Dihydroxy,210.82,604
Dihydroxy,4.01,584
Dihydroxy,54.11,578
Dihydroxy,5.01,557
Dihydroxy,203.98,546
Dihydroxy,0,531
Dihydroxy,250.08,519
Dihydroxy,71.04,510
Dihydroxy,248.52,508
Dihydroxy,104.99,485
Dihydroxy,4,481
Dihydroxy,356.27,463
Dihydroxy,147.07,461
Dihydroxy,38.04,447
Dihydroxy,22,446
Dihydroxy,118.97,430
Dihydroxy,399.3,416
Dihydroxy,595.25,414
Dihydroxy,390.28,408
Dihydroxy,73.04,408
Dihydroxy,3.99,366
Dihydroxy,106.02,351
Dihydroxy,89,341
Dihydroxy,94.04,326
Dihydroxy,444.35,325
Dihydroxy,163.06,324
Dihydroxy,74.05,324
Dihydroxy,55.03,306
Dihydroxy,512.38,301
Dihydroxy,400.3,298
Dihydroxy,331.27,284
Dihydroxy,154,283
Dihydroxy,31.04,282
Dihydroxy,7.99,280
Dihydroxy,117.02,272
Dihydroxy,89.03,272
Dihydroxy,374.29,266
Dihydroxy,57.06,257
Dihydroxy,113.09,256
Dihydroxy,606.3,241
Dihydroxy,99.01,237
Dihydroxy,22.02,235
Dihydroxy,70.99,235
Dihydroxy,128.1,232
Dihydroxy,5,226
Dihydroxy,54.09,209
Dihydroxy,557.44,206
Dihydroxy,40.03,204
Dihydroxy,186.08,196
Dihydroxy,176.03,196
Dihydroxy,445.36,196
Dihydroxy,2.02,195
Dihydroxy,131.04,195
Dihydroxy,129.04,194
Dihydroxy,513.38,189
Dihydroxy,515.29,188
Dihydroxy,113.08,188
Dihydroxy,282.26,186
Dihydroxy,332.27,184
Dihydroxy,175.05,181
Dihydroxy,202.96,176
Dihydroxy,55.01,174
Dihydroxy,372.27,173
Dihydroxy,595.24,167
Dihydroxy,14.02,166
Dihydroxy,99.07,162
Dihydroxy,157.09,157
Dihydroxy,36.28,153
Dihydroxy,135.03,148
Dihydroxy,71.02,147
Dihydroxy,56.05,131
Dihydroxy,91.04,131
Dihydroxy,37.02,129
Dihydroxy,41.03,126
Dihydroxy,193.06,125
Dihydroxy,136.98,125
Dihydroxy,197.01,124
Dihydroxy,72.02,124
Dihydroxy,8.03,123
Dihydroxy,129.06,123
Dihydroxy,154.01,122
Dihydroxy,21.98,122
Dihydroxy,88.93,120
Dihydroxy,6.03,117
Dihydroxy,88.98,117
Dihydroxy,89.05,117
Dihydroxy,54.01,114
Dihydroxy,128.09,109
Dihydroxy,530.39,108
Dihydroxy,58.04,108
Dihydroxy,215.12,105
Dihydroxy,101.05,103
Dihydroxy,56.06,101
Dihydroxy,37,101
Dihydroxy,3.01,98
Dihydroxy,54,97
Dihydroxy,202.95,97
Dihydroxy,35.01,97
Dihydroxy,338.26,97
Dihydroxy,37.03,96
Dihydroxy,298.19,95
Dihydroxy,321.27,95
Dihydroxy,339.28,95
Dihydroxy,18.99,92
Dihydroxy,784.58,91
Dihydroxy,506.34,89
Dihydroxy,147.04,89
Dihydroxy,96.98,88
Dihydroxy,56.03,88
Dihydroxy,144.03,86
Dihydroxy,68.97,85
Dihydroxy,54.16,81
Dihydroxy,123,80
Dihydroxy,54.04,80
Dihydroxy,287.22,78
Dihydroxy,15.01,78
Dihydroxy,60.04,77
Dihydroxy,173.04,76
Dihydroxy,173.03,76
Dihydroxy,186.96,75
Dihydroxy,252.09,75
Dihydroxy,111.05,74
Dihydroxy,38.02,73
Dihydroxy,86.98,72
Dihydroxy,108.02,70
Dihydroxy,124.02,70
Dihydroxy,229.08,69
Dihydroxy,128.06,67
Dihydroxy,54.07,66
Dihydroxy,0.99,66
Dihydroxy,392.3,65
Dihydroxy,95.07,65
Dihydroxy,26.04,64
Dihydroxy,23.01,64
Dihydroxy,3.96,64
Dihydroxy,54.08,63
Dihydroxy,64.55,63
Dihydroxy,145.05,63
Dihydroxy,124.04,61
Dihydroxy,472.32,61
Dihydroxy,99.04,61
Dihydroxy,558.44,60
Dihydroxy,107.08,60
Dihydroxy,20,59
Dihydroxy,87.07,59
Dihydroxy,77.06,59
Dihydroxy,26.02,58
Dihydroxy,179.08,57
Dihydroxy,513.28,56
Dihydroxy,57.01,56
Dihydroxy,267.07,55
Dihydroxy,391.31,55
Dihydroxy,158.02,54
Dihydroxy,127.01,52
Dihydroxy,40.04,52
Dihydroxy,145.15,50
Dihydroxy,94.05,49
Dihydroxy,161.05,49
Dihydroxy,35,49
Dihydroxy,93.08,48
Dihydroxy,54.12,48
Dihydroxy,223.1,47
Dihydroxy,140.01,47
Dihydroxy,73.05,47
Dihydroxy,75.05,47
Dihydroxy,147.03,47
Dihydroxy,401.3,46
Dihydroxy,71.01,46
Dihydroxy,417.31,46
Dihydroxy,506.33,46
Dihydroxy,215.04,46
Dihydroxy,20.01,45
Dihydroxy,1,45
Dihydroxy,71,45
Dihydroxy,10.13,45
Dihydroxy,314.28,43
Dihydroxy,54.18,43
Dihydroxy,87.03,43
Dihydroxy,509.32,42
Dihydroxy,662.36,42
Dihydroxy,113.03,41
Dihydroxy,24.04,41
Dihydroxy,111.07,41
Dihydroxy,118.96,41
Dihydroxy,19,40
Dihydroxy,390.27,40
Dihydroxy,281.27,40
Dihydroxy,30.06,39
Dihydroxy,204.99,39
Dihydroxy,303.26,39
Dihydroxy,85.05,39
Dihydroxy,57.07,39
Dihydroxy,163.07,39
Dihydroxy,593.23,39
Dihydroxy,55.48,39
Dihydroxy,114.04,38
Dihydroxy,168.07,38
Dihydroxy,491.3,38
Dihydroxy,129.05,38
Dihydroxy,18.03,38
Dihydroxy,114.08,37
Dihydroxy,372.26,37
Dihydroxy,53.02,36
Dihydroxy,236.09,36
Dihydroxy,399.29,36
Dihydroxy,179.13,36
Dihydroxy,233.06,36
Dihydroxy,280.24,36
Dihydroxy,21.02,35
Dihydroxy,481.29,34
Dihydroxy,319.25,34
Dihydroxy,36.95,34
Dihydroxy,129.03,33
Dihydroxy,97.05,33
Dihydroxy,55.04,33
Dihydroxy,299.28,33
Dihydroxy,595.26,33
Dihydroxy,297.27,32
Dihydroxy,27.01,32
Dihydroxy,21.04,32
Dihydroxy,223.11,31
Dihydroxy,233.09,31
Dihydroxy,18.98,31
Dihydroxy,54.96,31
Dihydroxy,86.05,31
Dihydroxy,514.29,31
Dihydroxy,265.06,30
Dihydroxy,509.31,30
Dihydroxy,17.02,30
Dihydroxy,73.02,30
Dihydroxy,56.07,30
Dihydroxy,13.03,29
Dihydroxy,111.03,29
Dihydroxy,22.03,29
Dihydroxy,19.97,29
Dihydroxy,20.99,29
Dihydroxy,117.9,29
Dihydroxy,279.26,29
Dihydroxy,53.63,28
Dihydroxy,420.32,28
Dihydroxy,18.05,28
Dihydroxy,34.02,27
Dihydroxy,38.94,27
Dihydroxy,236.06,27
Dihydroxy,19.02,27
Dihydroxy,255.26,26
Dihydroxy,18.97,26
Dihydroxy,38.98,26
Dihydroxy,57.03,26
Dihydroxy,408.29,26
Dihydroxy,122.02,25
Dihydroxy,336.28,25
Dihydroxy,40.01,25
Dihydroxy,514.3,25
Dihydroxy,90.04,25
Dihydroxy,606.31,25
Dihydroxy,39.02,25
Dihydroxy,55.06,25
Dihydroxy,69.91,24
Dihydroxy,152.06,24
Dihydroxy,267.08,24
Dihydroxy,19.01,24
Dihydroxy,301.24,24
Dihydroxy,28.05,24
Dihydroxy,643.47,24
Dihydroxy,1.01,23
Dihydroxy,37.98,23
Dihydroxy,38.01,22
Dihydroxy,36.04,22
Dihydroxy,477.26,22
Dihydroxy,53.94,22
Dihydroxy,472.33,21
Dihydroxy,391.28,21
Dihydroxy,136.97,21
Dihydroxy,106.95,21
Dihydroxy,210.81,21
Dihydroxy,214.11,21
Dihydroxy,162.06,21
Dihydroxy,53.01,21
Dihydroxy,95.02,21
Dihydroxy,58.05,21
Dihydroxy,643.48,21
Dihydroxy,5.99,20
