NCBI_IDs,Symbol,Size,Color,Fill,Position,Label
562971,Circle,10,#FF000,,1,
187327,Circle,10,#FF000,,1,
596318,Circle,10,#FF000,,1,
1989,Circle,10,#FF000,,1,
435830,Circle,10,#FF000,,1,
562973,Circle,10,#FF000,,1,
88128,Circle,10,#FF000,,1,
239935,Circle,10,#FF000,,1,
349741,Circle,10,#FF000,,1,
1136748,Circle,10,#FF000,,1,
221126,Circle,10,#FF000,,1,
80576,Circle,10,#FF000,,1,
1750,Circle,10,#FF000,,1,
1396,Circle,10,#FF000,,1,
1409,Circle,10,#FF000,,1,
2512181,Circle,10,#FF000,,1,
2512182,Circle,10,#FF000,,1,
1423,Circle,10,#FF000,,1,
227866,Circle,10,#FF000,,1,
492670,Circle,10,#FF000,,1,
997873,Circle,10,#FF000,,1,
997874,Circle,10,#FF000,,1,
537012,Circle,10,#FF000,,1,
665953,Circle,10,#FF000,,1,
997888,Circle,10,#FF000,,1,
457424,Circle,10,#FF000,,1,
997879,Circle,10,#FF000,,1,
997880,Circle,10,#FF000,,1,
997882,Circle,10,#FF000,,1,
997883,Circle,10,#FF000,,1,
272559,Circle,10,#FF000,,1,
665954,Circle,10,#FF000,,1,
411476,Circle,10,#FF000,,1,
997887,Circle,10,#FF000,,1,
29523,Circle,10,#FF000,,1,
457387,Circle,10,#FF000,,1,
469588,Circle,10,#FF000,,1,
469592,Circle,10,#FF000,,1,
457393,Circle,10,#FF000,,1,
457395,Circle,10,#FF000,,1,
556259,Circle,10,#FF000,,1,
585543,Circle,10,#FF000,,1,
1073351,Circle,10,#FF000,,1,
818,Circle,10,#FF000,,1,
423460,Circle,10,#FF000,,1,
411481,Circle,10,#FF000,,1,
1357382,Circle,10,#FF000,,1,
858694,Circle,10,#FF000,,1,
858695,Circle,10,#FF000,,1,
1203540,Circle,10,#FF000,,1,
1261072,Circle,10,#FF000,,1,
216816,Circle,10,#FF000,,1,
1161744,Circle,10,#FF000,,1,
1161745,Circle,10,#FF000,,1,
1161904,Circle,10,#FF000,,1,
1161743,Circle,10,#FF000,,1,
41200,Circle,10,#FF000,,1,
1161409,Circle,10,#FF000,,1,
985075,Circle,10,#FF000,,1,
350701,Circle,10,#FF000,,1,
395019,Circle,10,#FF000,,1,
985079,Circle,10,#FF000,,1,
985078,Circle,10,#FF000,,1,
271848,Circle,10,#FF000,,1,
82992,Circle,10,#FF000,,1,
873517,Circle,10,#FF000,,1,
797473,Circle,10,#FF000,,1,
1125704,Circle,10,#FF000,,1,
1357384,Circle,10,#FF000,,1,
71875,Circle,10,#FF000,,1,
1073356,Circle,10,#FF000,,1,
1073357,Circle,10,#FF000,,1,
195103,Circle,10,#FF000,,1,
1796621,Circle,10,#FF000,,1,
457396,Circle,10,#FF000,,1,
908340,Circle,10,#FF000,,1,
1226325,Circle,10,#FF000,,1,
1105031,Circle,10,#FF000,,1,
471871,Circle,10,#FF000,,1,
74426,Circle,10,#FF000,,1,
742722,Circle,10,#FF000,,1,
2137881,Circle,10,#FF000,,1,
469597,Circle,10,#FF000,,1,
304761,Circle,10,#FF000,,1,
1078764,Circle,10,#FF000,,1,
1401064,Circle,10,#FF000,,1,
765105,Circle,10,#FF000,,1,
765115,Circle,10,#FF000,,1,
765116,Circle,10,#FF000,,1,
765117,Circle,10,#FF000,,1,
