,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
1,34,Myxococcus_xanthus,Myxococcus_xanthus|34,Myxococcus_xanthus|34,NA,NA,NA,NA,NA,NA
2,56,Sorangium_cellulosum,Sorangium_cellulosum|56,Sorangium_cellulosum|56,NA,NA,NA,NA,NA,NA
3,104,Cyclobacterium_marinum,Cyclobacterium_marinum|104,Cyclobacterium_marinum|104,NA,NA,NA,NA,NA,NA
4,171,Leptospira,Leptospira|171,Leptospira|171,Circle,10,#FF000,NA,1,NA
5,197,Campylobacter_jejuni,Campylobacter_jejuni|197,Campylobacter_jejuni|197,NA,NA,NA,NA,NA,NA
6,226,Alteromonas,Alteromonas|226,Alteromonas|226,Circle,10,#FF000,NA,1,NA
7,267,Paracoccus_sp.,Paracoccus_sp.|267,Paracoccus_sp.|267,NA,NA,NA,NA,NA,NA
8,292,Burkholderia_cepacia,Burkholderia_cepacia|292,Burkholderia_cepacia|292,NA,NA,NA,NA,NA,NA
9,294,Pseudomonas_fluorescens,Pseudomonas_fluorescens|294,Pseudomonas_fluorescens|294,Circle,10,#FF000,NA,1,NA
10,296,Pseudomonas_fragi,Pseudomonas_fragi|296,Pseudomonas_fragi|296,Circle,10,#FF000,NA,1,NA
11,303,Pseudomonas_putida,Pseudomonas_putida|303,Pseudomonas_putida|303,Circle,10,#FF000,NA,1,NA
12,306,Pseudomonas_sp.,Pseudomonas_sp.|306,Pseudomonas_sp.|306,NA,NA,NA,NA,NA,NA
13,322,Pseudomonas_amygdali_pv._tabaci,Pseudomonas_amygdali_pv._tabaci|322,Pseudomonas_amygdali_pv._tabaci|322,NA,NA,NA,NA,NA,NA
14,470,Acinetobacter_baumannii,Acinetobacter_baumannii|470,Acinetobacter_baumannii|470,NA,NA,NA,NA,NA,NA
15,472,Acinetobacter_sp.,Acinetobacter_sp.|472,Acinetobacter_sp.|472,NA,NA,NA,NA,NA,NA
16,479,Moraxella_sp.,Moraxella_sp.|479,Moraxella_sp.|479,NA,NA,NA,NA,NA,NA
17,548,Klebsiella_aerogenes,Klebsiella_aerogenes|548,Klebsiella_aerogenes|548,NA,NA,NA,NA,NA,NA
18,550,Enterobacter_cloacae,Enterobacter_cloacae|550,Enterobacter_cloacae|550,NA,NA,NA,NA,NA,NA
19,558,Erwinia_sp.,Erwinia_sp.|558,Erwinia_sp.|558,NA,NA,NA,NA,NA,NA
20,569,Hafnia_alvei,Hafnia_alvei|569,Hafnia_alvei|569,NA,NA,NA,NA,NA,NA
21,614,Serratia_liquefaciens,Serratia_liquefaciens|614,Serratia_liquefaciens|614,NA,NA,NA,NA,NA,NA
22,628,Xenorhabdus_nematophila,Xenorhabdus_nematophila|628,Xenorhabdus_nematophila|628,NA,NA,NA,NA,NA,NA
23,666,Vibrio_cholerae,Vibrio_cholerae|666,Vibrio_cholerae|666,NA,NA,NA,NA,NA,NA
24,820,Bacteroides_uniformis,Bacteroides_uniformis|820,Bacteroides_uniformis|820,NA,NA,NA,NA,NA,NA
25,850,Fusobacterium_mortiferum,Fusobacterium_mortiferum|850,Fusobacterium_mortiferum|850,Circle,10,#FF000,NA,1,NA
26,853,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|853,Faecalibacterium_prausnitzii|853,Circle,10,#FF000,NA,1,NA
27,979,Cellulophaga_lytica,Cellulophaga_lytica|979,Cellulophaga_lytica|979,NA,NA,NA,NA,NA,NA
28,1126,Microcystis_aeruginosa,Microcystis_aeruginosa|1126,Microcystis_aeruginosa|1126,NA,NA,NA,NA,NA,NA
29,1140,Synechococcus_elongatus_PCC_7942_=_FACHB-805,Synechococcus_elongatus_PCC_7942_=_FACHB-805|1140,Synechococcus_elongatus_PCC_7942_=_FACHB-805|1140,NA,NA,NA,NA,NA,NA
30,1181,Desmonostoc_sp._PCC_7906,Desmonostoc_sp._PCC_7906|1181,Desmonostoc_sp._PCC_7906|1181,NA,NA,NA,NA,NA,NA
31,1246,Leuconostoc_lactis,Leuconostoc_lactis|1246,Leuconostoc_lactis|1246,NA,NA,NA,NA,NA,NA
