Bile_acid,Nonhydroxy_36.02,Nonhydroxy_64.07,Nonhydroxy_78.05,Nonhydroxy_80.06,Nonhydroxy_95.98,Nonhydroxy_96.06,Dihydroxy_39.01,Dihydroxy_41.06,Dihydroxy_50.05,Dihydroxy_62.05,Dihydroxy_64.03,Dihydroxy_69.02,Dihydroxy_70.98,Dihydroxy_71.04,Dihydroxy_73.04,Dihydroxy_74.05,Dihydroxy_85.05,Dihydroxy_86.97,Dihydroxy_87.03,Dihydroxy_87.04,Dihydroxy_88.99,Dihydroxy_99.02,Dihydroxy_99.07,Dihydroxy_101.05,Dihydroxy_103.08,Dihydroxy_104.99,Dihydroxy_110.05,Dihydroxy_111.03,Dihydroxy_113.08,Dihydroxy_113.09,Dihydroxy_114.04,Dihydroxy_114.08,Dihydroxy_123,Dihydroxy_128.06,Dihydroxy_128.09,Dihydroxy_128.1,Dihydroxy_129.04,Dihydroxy_131.04,Dihydroxy_131.07,Dihydroxy_147.04,Dihydroxy_147.07,Dihydroxy_157.09,Dihydroxy_163.06,Dihydroxy_163.07,Dihydroxy_175.13,Dihydroxy_186.08,Dihydroxy_356.27,Trihydroxy_39.01,Trihydroxy_41.03,Trihydroxy_52.97,Trihydroxy_53.01,Trihydroxy_53.03,Trihydroxy_54.05,Trihydroxy_56.93,Trihydroxy_60.04,Trihydroxy_70.98,Trihydroxy_70.99,Trihydroxy_71.04,Trihydroxy_73.03,Trihydroxy_73.04,Trihydroxy_74,Trihydroxy_74.05,Trihydroxy_85.05,Trihydroxy_87.04,Trihydroxy_88.99,Trihydroxy_89,Trihydroxy_89.03,Trihydroxy_101.05,Trihydroxy_103.01,Trihydroxy_104.99,Trihydroxy_113.08,Trihydroxy_113.09,Trihydroxy_114.04,Trihydroxy_114.08,Trihydroxy_124.03,Trihydroxy_126.11,Trihydroxy_128.06,Trihydroxy_128.09,Trihydroxy_128.1,Trihydroxy_128.96,Trihydroxy_128.99,Trihydroxy_129.03,Trihydroxy_129.04,Trihydroxy_129.05,Trihydroxy_137.01,Trihydroxy_137.06,Trihydroxy_147.04,Trihydroxy_147.07,Trihydroxy_163.06,Trihydroxy_172.05,Trihydroxy_186.07,Trihydroxy_186.08,Trihydroxy_372.26,Trihydroxy_372.27,Trihydroxy_389.29,Trihydroxy_391.31,Trihydroxy_407.3,Trihydroxy_407.32,Tetrahydroxy_55.02,Tetrahydroxy_88.99,Tetrahydroxy_106.01,Tetrahydroxy_372.27,Tetrahydroxy_388.26,Tetrahydroxy_405.29,Tetrahydroxy_495.27,NCBI,no rank,class,phylum,subphylum,superkingdom,family,genus,order,suborder,clade,species group,species subgroup,species,subclass,kingdom,subkingdom,subgenus,section,infraorder,parvorder,subfamily,superclass,superfamily,superorder,subspecies,strain
Actinomadura sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,unclassified Actinomadura,Actinomycetia,Actinobacteria,N/A,Bacteria,Thermomonosporaceae,Actinomadura,Streptosporangiales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Actinomyces graevenitzii C83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435830,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Actinomycetaceae,Actinomyces,Actinomycetales,N/A,Terrabacteria group,N/A,N/A,Actinomyces graevenitzii,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Actinomyces viscosus C505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562973,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Actinomycetaceae,Actinomyces,Actinomycetales,N/A,Terrabacteria group,N/A,N/A,Actinomyces viscosus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amycolatopsis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Pseudonocardiaceae,N/A,Pseudonocardiales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arachnia propionica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Propionibacteriaceae,Arachnia,Propionibacteriales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium adolescentis L2-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411481,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium adolescentis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium angulatum F16_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357382,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium angulatum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium breve EX336960VC18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858694,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium breve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium breve EX336960VC19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858695,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium breve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium breve HPH0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203540,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium breve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium breve JCP7499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261072,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,Bifidobacterium breve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bifidobacterium longum,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216816,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
