,Actinomycetia,Coriobacteriia,Bacteroidia,Flavobacteriia,Bacilli,Clostridia,Negativicutes,Tissierellia,Fusobacteriia,Alphaproteobacteria,Betaproteobacteria,Gammaproteobacteria,Agaricomycetes,Basidiobolomycetes,Eurotiomycetes,Spirochaetia,Verrucomicrobiae,N/A
Nonhydroxy_36.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Nonhydroxy_64.07,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
Nonhydroxy_78.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nonhydroxy_80.06,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Nonhydroxy_95.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nonhydroxy_96.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dihydroxy_39.01,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1
Dihydroxy_41.06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dihydroxy_50.05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Dihydroxy_62.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dihydroxy_64.03,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Dihydroxy_69.02,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Dihydroxy_70.98,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1
Dihydroxy_71.04,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
Dihydroxy_73.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dihydroxy_74.05,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Dihydroxy_85.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dihydroxy_86.97,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Dihydroxy_87.03,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Dihydroxy_87.04,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Dihydroxy_99.02,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Dihydroxy_99.07,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Dihydroxy_101.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_103.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dihydroxy_104.99,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Dihydroxy_110.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_111.03,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_113.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_113.09,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Dihydroxy_114.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_114.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_128.06,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dihydroxy_128.09,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dihydroxy_128.1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dihydroxy_129.04,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_131.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dihydroxy_147.04,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
