CHROMATOGRAM,
Lion_3_6uL.raw,
Data points: 2862,
Time,Intensity
0.003608651,1282.491699
0.008260619,1871.713867
0.011406449,1564.399536
0.013731368,0
0.0160543,0
0.018377168,1965.974365
0.020702202,0
0.023025103,0
0.025350069,1771.447266
0.027672985,0
0.029995902,1342.727905
0.032320868,1514.727783
0.034643753,0
0.036968767,1212.171143
0.039291651,1381.86084
0.041614536,0
0.04393955,2934.702393
0.046262403,2002.035034
0.048585335,0
0.050910333,0
0.053233217,0
0.055558168,1755.960449
0.0578811,2047.202881
0.060206083,0
0.062528967,0
0.064851883,0
0.067176886,0
0.069499786,0
0.071824717,0
0.074147669,1761.927612
0.076472635,1499.799561
0.0787955,2105.773926
0.081120502,2111.466064
0.083443402,1458.890381
0.085766283,1775.896851
0.088091249,3550.529785
0.092593367,0
0.094916236,2386.544922
0.097241234,1442.939941
0.099564083,2214.558838
0.10188907,1488.863525
0.10421203,2014.370239
0.10653492,1966.960571
0.10885985,0
0.1111828,0
0.11350778,1813.94519
0.11583065,2268.305664
0.1181536,1716.69104
0.12047857,0
0.12280149,0
0.12512642,0
0.12744937,1353.157837
0.12977225,0
0.13209724,0
0.13442014,0
0.13674513,0
0.13906803,0
0.1413909,1956.410278
0.14371592,1417.914307
0.14603882,1590.268433
0.1483617,1928.545288
0.15068668,1788.569458
0.15300955,2618.411865
0.15533457,1776.761719
0.15765748,1282.953613
0.15998038,2100.690186
0.1623053,2514.969727
0.16462827,2412.943604
0.16695323,1443.890747
0.16927612,1916.196899
0.17159902,0
0.17610737,1729.761108
0.17843022,0
0.18075523,1621.515747
0.18309273,2235.651855
0.18541559,1546.888794
0.18774064,2268.439941
0.19006352,2825.830811
0.1923864,1699.882324
0.19471138,2471.043213
0.1970343,2802.505859
0.1993593,1796.960938
0.20168217,0
0.20401548,0
0.20633835,1800.95752
0.20866338,0
0.21098627,3074.696777
0.21330918,1655.591919
0.21563412,1586.282227
0.21795705,1511.020752
0.22027997,1960.667847
0.22260492,2419.731934
0.22492785,0
0.22725278,1793.754761
0.22957572,0
0.2318986,0
0.2342236,1226.588745
0.23655068,1782.286743
0.23887357,0
0.24119857,2704.900635
0.24352148,1630.536499
0.24584645,2169.759766
0.24816935,0
0.25049225,2123.830078
0.2528172,2981.635254
0.2551401,0
0.25963797,1687.359497
0.2619609,0
0.26428587,0
0.2666088,1853.39563
0.26893167,0
0.27125668,2062.511719
0.27358585,2152.438965
0.2759087,1778.302856
0.27823373,2134.346191
0.28055663,0
0.28287952,2575.55957
0.28520447,1473.704346
0.2875274,0
0.28985863,0
0.29218362,0
0.29450652,0
0.29682943,2192.470459
0.2991544,1811.625122
0.30147728,0
0.30380022,0
0.30612518,0
0.30844807,0
0.31077309,1454.182495
0.31309593,2621.624023
0.31541888,1758.832031
0.31774387,0
0.320073,0
0.32239587,1788.841553
0.32471882,0
0.32704797,2206.470215
0.32937085,0
0.33169583,2560.795166
0.33401875,1657.610596
0.33634165,0
0.3386666,1273.728516
0.34316455,0
0.34548742,1555.178711
0.3478103,1795.279663
0.35013527,0
0.3524582,2040.004639
0.35478108,0
0.35710608,1625.470581
0.35942897,2119.320557
0.36175397,0
0.36408312,0
0.36640597,0
0.36873102,1977.878174
0.37105393,2354.638916
0.37337679,2118.503418
0.37570175,0
0.37802468,0
0.380358,0
0.38268088,1898.773682
0.38500588,0
0.38732878,3333.529053
0.38965168,2059.467041
0.39197662,1763.977783
0.39429957,1675.433228
0.39663289,1772.321655
0.39895577,0
0.4012787,1328.632568
0.40360368,0
0.40592657,0
0.40824945,0
0.41057447,1866.833618
0.41289732,1979.634521
0.41522232,1930.657959
0.41754523,1860.922119
0.41986812,2906.4646
0.42219309,2212.32373
0.42670562,2817.634033
0.42903052,2428.883545
0.43135348,1964.351196
0.43367845,0
0.43600134,1752.404053
0.43832428,2466.564941
0.44064923,0
0.44297215,2818.694336
0.44529709,4010.585205
0.44762002,1878.875244
0.44994293,2327.059326
0.45226788,2798.117188
0.45459085,2725.784668
0.45691372,2700.031006
0.45923868,2948.577148
0.4615616,4207.172852
0.46388658,2784.723633
0.46620948,3133.43335
0.46853238,2682.938965
0.47085735,3370.848633
0.47318022,2910.719971
0.47550523,3728.832031
0.47782808,3260.23877
0.48015103,3000.535889
0.48247598,3775.064209
0.48479892,3000.795654
0.4871239,4077.94873
0.48944678,2430.040283
0.49176972,4988.852051
0.4940947,3865.424072
0.49641759,4327.677246
0.49874049,3057.169678
0.50106548,2341.566162
0.5033884,4275.394531
0.50571332,3147.805176
0.51021127,4412.503418
0.51253413,2878.008057
0.51485703,4457.993164
0.51718204,2977.770752
0.51950494,3689.699951
0.52182985,4050.985352
0.52415282,5388.500488
0.52647567,2365.81958
0.52880069,2555.593262
0.53112362,4426.90332
0.53344857,4633.957031
0.53577147,4027.537842
0.53809438,4118.879395
0.54041937,4705.565918
0.54274227,2507.949707
0.54506517,3949.379395
0.54739015,2233.02832
0.54971307,3534.855713
0.55203802,2624.035645
0.55436097,4246.58252
0.55668385,2593.081787
0.55900878,4056.861816
0.56133173,3831.450195
0.56367127,2806.112549
0.5659942,2712.274902
0.56831918,4695.726563
0.57064209,3798.330078
0.57296493,4085.208496
0.57528997,3989.116455
0.57762744,2790.754639
0.57995032,3515.308105
0.58227532,4074.102051
0.58459823,4624.643066
0.58692117,3044.214844
0.58924607,5788.929199
0.5937482,4748.870117
0.59607104,4030.31958
0.5983961,4751.6875
0.6007189,4178.008789
0.60304183,3120.935547
0.60536683,3233.559814
0.60768973,4204.415039
0.61001265,5246.589355
0.61233762,3806.202148
0.6146751,2809.055908
0.61700003,3158.579834
0.61932298,3268.067871
0.62164587,4363.408691
0.62397089,5841.725586
0.62629373,3763.813477
0.62861873,3164.500732
0.63095417,4262.279297
0.6332791,3244.933838
0.63560205,6771.439941
0.63792495,3074.796631
0.64024993,4814.375977
0.64257278,4943.132324
0.64489574,6309.870117
0.64722072,4385.041992
0.64954358,3209.270996
0.6518686,5128.748047
0.6541915,7077.318359
0.65651439,4955.658203
0.65883935,3196.749268
0.66116223,4835.126953
0.66348725,5527.354492
0.66581015,5124.01709
0.66813305,3590.109131
0.670458,3372.74585
0.67278088,3652.15625
0.67728093,4196.418945
0.67960583,3765.765137
0.68192877,3901.541016
0.68425169,5293.064453
0.68657662,3001.427246
0.68889957,3415.953857
0.69122455,3879.854736
0.69354745,5103.786621
0.6958703,3729.401123
0.69819533,3914.947021
0.70051822,4690.122559
0.7028432,3442.140869
0.70516612,3689.779541
0.707489,3478.564941
0.709814,5080.520996
0.71213687,5241.046387
0.71446188,4547.260742
0.71678478,4688.92041
0.71910767,4157.980957
0.721441,4596.291016
0.72376595,2855.345459
0.72608888,3979.853271
0.72841382,5646.028809
0.73073677,4407.929688
0.73305963,4358.447754
0.73538463,2679.786865
0.73771175,4298.305176
0.74003458,3254.203613
0.7423596,4883.079102
0.7446825,5338.870605
0.7470054,4523.169922
0.74933035,5120.282227
0.75165325,3906.478516
0.75397825,4661.029297
0.75849287,4958.071289
0.76081575,5304.958008
0.76313862,3266.271484
0.76546362,4063.51709
0.7677865,4595.435059
0.77011148,4535.339355
0.7724344,3933.297852
0.77475729,5068.958984
0.77708225,2831.874756
0.77940517,4434.297363
0.78173015,4169.039551
0.78405307,5282.141113
0.78637592,3397.377197
0.78870093,5332.47998
0.7910238,7683.803223
0.7933488,4717.520996
0.79567173,2438.921143
0.79799463,4564.319336
0.80031962,4020.435303
0.80264248,3440.551514
0.80496542,0
0.8072904,0
0.80961328,0
0.81193827,3408.32251
0.81426115,3941.408691
0.81658405,3028.014648
0.81890905,0
0.821232,3406.753418
0.82355695,5232.163574
0.82587985,0
0.82821943,3510.188232
0.83054437,0
0.8328673,0
0.83519017,0
0.83751517,0
0.84216515,0
0.84448807,3528.587646
0.84681303,4432.140137
0.84913593,4514.296875
0.85145882,0
0.87197533,0
0.88911478,4989.508789
0.90142932,0
0.91865013,3277.574951
0.93587697,3152.347168
0.95090602,0
0.9632351,2478.907471
0.97214965,3036.156494
0.98446203,2354.227539
0.9967786,3207.581299
1.009089,3356.619629
1.0290367,4363.481445
1.0462699,2784.438232
1.0669052,2477.79834
1.087547,0
1.1107445,0
1.1313695,0
1.1520006,2712.94458
1.1726358,0
1.1958668,0
1.2130979,2766.754883
1.2303249,3950.327637
1.2426498,0
1.2598789,2681.239746
1.2715184,0
1.2804329,2901.45874
1.2893557,0
1.2982703,3508.95752
1.3071868,1953.755737
1.3127014,3888.250977
1.3182139,3685.622314
1.3237305,2590.737793
1.3292554,3018.241699
1.33477,4235.222168
1.3402845,3005.354736
1.3481928,2851.503174
1.3537074,2616.702393
1.3579492,2936.08374
1.3602719,2218.788086
1.3625969,2110.632568
1.3649198,2292.562012
1.3672427,2517.005859
1.3695677,2877.687744
1.3718906,3394.611572
1.3742135,2661.937012
1.3765385,2648.311035
1.3788614,1845.483887
1.3811864,3163.900879
1.3835092,2538.29541
1.3858321,2410.937012
1.3881572,0
1.39048,2215.331787
1.392805,2832.039551
1.3951279,2762.741699
1.3974508,0
1.3997758,2512.535156
1.4020987,0
1.4044237,3400.394287
1.4067466,2544.257568
1.4090695,0
1.4113945,3738.172607
1.4137174,0
1.4160402,2804.053467
1.4183653,2399.970947
1.4206881,3533.120605
1.4252134,0
1.427536,0
1.429861,3874.913818
1.4321839,0
1.4345068,2769.22168
1.4368318,3496.083252
1.4391547,2882.701416
1.4414776,0
1.4438026,3789.414551
1.4461255,0
1.4484504,2561.543701
1.4507734,4040.33252
1.4530962,0
1.4554212,0
1.4577566,0
1.4600795,0
1.4624045,0
1.4647274,4421.050293
1.4670524,3997.461426
1.4693753,2254.257568
1.4716982,2836.814209
1.4740419,0
1.4763648,2393.130127
1.4786898,3626.759277
1.4810127,0
1.4833356,0
1.4856606,0
1.4912439,3048.384521
1.4954752,3536.121094
1.4978001,0
1.5033896,0
1.5089021,3151.794189
1.5171375,0
1.5212169,0
1.5235416,0
1.5358894,3784.976563
1.5524893,0
1.572485,0
1.5926849,0
1.6156701,0
1.6362616,0
1.6569094,0
1.6772863,0
1.7000966,0
1.7199839,0
