CHROMATOGRAM,
lion3_spiked_ba5acetyl_10000times_1to1_lc1.raw,
Data points: 2963,
Time,Intensity
0.003636216,0
0.008288283,0
0.011444449,1463.553345
0.013769399,0
0.0160923,0
0.018415164,0
0.020740182,0
0.023063031,0
0.025388065,0
0.027710981,0
0.030033866,0
0.032358848,0
0.034681717,0
0.037004649,0
0.0393296,0
0.04165248,0
0.043977514,0
0.046300398,0
0.048623315,0
0.050948281,1187.489014
0.053271182,0
0.055596164,0
0.057919064,0
0.060241965,0
0.062566963,0
0.064889847,0
0.06721485,0
0.06953775,0
0.071860599,0
0.074185633,0
0.076508481,0
0.078833532,0
0.081156416,0
0.083479265,0
0.085804315,0
0.088127147,0
0.092625049,0
0.094950083,0
0.097272963,0
0.099597966,2089.561035
0.10192087,0
0.10424373,1483.341431
0.10656875,2252.394043
0.1088916,1868.001099
0.11121663,1971.804321
0.11353953,1319.660034
0.11586243,0
0.11818741,1375.953613
0.12051026,0
0.1228332,1660.461304
0.12515817,0
0.12748108,1330.854858
0.12980605,0
0.132129,1294.192993
0.13445187,0
0.13677686,0
0.13909973,0
0.14142473,0
0.14374765,1424.315308
0.1460705,0
0.14839551,0
0.15071841,1736.972046
0.1530434,0
0.1553663,0
0.15768918,0
0.16001418,1526.631104
0.16233703,0
0.16465996,2390.222168
0.16698497,1455.559692
0.16930783,0
0.17163283,0
0.17613077,0
0.17845568,0
0.18077861,0
0.18310148,0
0.18542652,0
0.1877494,1718.314941
0.19007231,1713.247681
0.19239728,0
0.19472016,0
0.19704515,0
0.19936805,1921.077637
0.20169096,2042.27771
0.20401595,1824.63147
0.20633885,0
0.20866383,0
0.2109867,1337.688232
0.21330963,0
0.2156346,0
0.21795752,0
0.2202825,1507.630249
0.22260541,0
0.22492831,1453.681519
0.22725327,0
0.22957618,1577.071777
0.23190113,2745.114502
0.23422406,0
0.23654693,2207.071533
0.23887195,1472.111084
0.24119486,2409.515137
0.24351776,1495.191528
0.24584273,2766.970947
0.24816563,2226.484863
0.25049061,2418.813721
0.25281348,0
0.2551364,0
0.25963433,2259.86377
0.26195722,1361.721069
0.26428013,0
0.2666051,2118.755859
0.26892798,1489.264404
0.2712509,2902.742432
0.27357588,0
0.2758988,2705.028564
0.27822376,0
0.28054666,2222.964355
0.28286958,1747.747681
0.28519452,1520.500977
0.28751743,1511.322876
0.2898424,1320.516113
0.2921653,1618.713257
0.29448827,1707.488403
0.29681323,2075.082031
0.29913611,0
0.30146108,2022.502319
0.303784,2390.60083
0.30610688,0
0.3084319,0
0.31075478,0
0.3130777,0
0.31540268,1700.759155
0.31772557,2441.585449
0.32005055,0
0.3223734,0
0.32469637,2115.280518
0.32702133,1440.079712
0.32934425,1920.812012
0.33166923,0
0.33399208,2921.754883
0.33631507,0
0.33863997,2477.740723
0.34314202,2149.132324
0.34546496,1464.83374
0.34778785,2872.986328
0.35011287,3089.395264
0.35243573,3924.004883
0.35476073,0
0.35708358,0
0.35940648,2747.435059
0.36173153,2196.662598
0.36405442,1412.083618
0.36637942,3274.765137
0.3687023,2255.572266
0.37102518,2048.610107
0.37335018,2951.09082
0.37567303,1655.783813
0.37799807,3414.362793
0.38032097,2549.689941
0.38264388,0
0.38496885,2198.559814
0.38729175,2894.505127
0.38961465,1394.985107
0.3919396,2234.896729
0.39426256,1567.690918
0.39658748,1580.287842
0.39891043,0
0.40123331,3026.903809
0.40355833,2678.439209
0.40588121,2869.254639
0.40820616,1513.337402
0.41052905,0
0.41285196,2248.384277
0.415177,2837.72998
0.41749986,1649.252075
0.4198228,1598.285645
0.42214773,0
0.42664358,2103.73584
0.42896852,2268.498047
0.43129145,2864.5354
0.43361435,2647.016357
0.43593932,2363.89917
0.43826223,0
0.4405872,2537.040039
0.4429101,1774.68811
0.44523297,3338.486084
0.44755798,2118.392822
