CHROMATOGRAM,
Lion_3_6uL.raw,
Data points: 2862,
Time,Intensity
0.003608651,0
0.008260619,0
0.011406449,0
0.013731368,0
0.0160543,0
0.018377168,0
0.020702202,0
0.023025103,0
0.025350069,0
0.027672985,0
0.029995902,0
0.032320868,1337.339844
0.034643753,0
0.036968767,0
0.039291651,0
0.041614536,0
0.04393955,0
0.046262403,0
0.048585335,0
0.050910333,0
0.053233217,0
0.055558168,1314.179443
0.0578811,0
0.060206083,0
0.062528967,1194.353882
0.064851883,0
0.067176886,0
0.069499786,0
0.071824717,1436.28064
0.074147669,0
0.076472635,0
0.0787955,0
0.081120502,0
0.083443402,0
0.085766283,0
0.088091249,0
0.092593367,1557.490967
0.094916236,0
0.097241234,0
0.099564083,0
0.10188907,0
0.10421203,0
0.10653492,0
0.10885985,0
0.1111828,0
0.11350778,0
0.11583065,0
0.1181536,0
0.12047857,0
0.12280149,0
0.12512642,2008.204468
0.12744937,0
0.12977225,0
0.13209724,0
0.13442014,0
0.13674513,0
0.13906803,2459.862305
0.1413909,0
0.14371592,0
0.14603882,0
0.1483617,0
0.15068668,0
0.15300955,0
0.15533457,0
0.15765748,0
0.15998038,0
0.1623053,0
0.16462827,0
0.16695323,0
0.16927612,1621.78772
0.17159902,1930.05603
0.17610737,1506.809326
0.17843022,0
0.18075523,0
0.18309273,0
0.18541559,0
0.18774064,0
0.19006352,0
0.1923864,0
0.19471138,0
0.1970343,0
0.1993593,0
0.20168217,0
0.20401548,0
0.20633835,0
0.20866338,0
0.21098627,2362.177734
0.21330918,0
0.21563412,0
0.21795705,0
0.22027997,0
0.22260492,0
0.22492785,0
0.22725278,0
0.22957572,0
0.2318986,0
0.2342236,0
0.23655068,0
0.23887357,0
0.24119857,0
0.24352148,0
0.24584645,0
0.24816935,0
0.25049225,0
0.2528172,0
0.2551401,0
0.25963797,0
0.2619609,0
0.26428587,0
0.2666088,0
0.26893167,0
0.27125668,0
0.27358585,1538.993286
0.2759087,0
0.27823373,0
0.28055663,0
0.28287952,0
0.28520447,0
0.2875274,0
0.28985863,0
0.29218362,0
0.29450652,0
0.29682943,0
0.2991544,0
0.30147728,0
0.30380022,1398.713013
0.30612518,0
0.30844807,1249.627563
0.31077309,0
0.31309593,0
0.31541888,0
0.31774387,0
0.320073,0
0.32239587,0
0.32471882,0
0.32704797,0
0.32937085,0
0.33169583,0
0.33401875,0
0.33634165,0
0.3386666,0
0.34316455,0
0.34548742,0
0.3478103,0
0.35013527,1798.628418
0.3524582,1506.293335
0.35478108,0
0.35710608,0
0.35942897,0
0.36175397,0
0.36408312,0
0.36640597,1426.961792
0.36873102,0
0.37105393,0
0.37337679,0
0.37570175,0
0.37802468,0
0.380358,0
0.38268088,0
0.38500588,0
0.38732878,0
0.38965168,0
0.39197662,0
0.39429957,0
0.39663289,0
0.39895577,1548.308716
0.4012787,0
0.40360368,0
0.40592657,0
0.40824945,0
0.41057447,0
0.41289732,0
0.41522232,0
0.41754523,0
0.41986812,0
0.42219309,2070.950928
0.42670562,0
0.42903052,0
0.43135348,0
0.43367845,0
0.43600134,0
0.43832428,0
0.44064923,0
0.44297215,0
0.44529709,2540.528564
0.44762002,0
0.44994293,0
0.45226788,2491.711914
0.45459085,1525.897949
0.45691372,2254.397705
0.45923868,1414.30835
0.4615616,0
0.46388658,0
0.46620948,1717.077271
0.46853238,0
0.47085735,0
0.47318022,2097.362305
0.47550523,1748.611572
0.47782808,2299.59082
0.48015103,2371.009033
0.48247598,0
0.48479892,1545.972778
0.4871239,0
0.48944678,2606.935303
0.49176972,2986.613037
0.4940947,0
0.49641759,2180.180908
0.49874049,1890.720947
0.50106548,0
0.5033884,0
0.50571332,2058.14502
0.51021127,2777.642334
0.51253413,0
0.51485703,0
0.51718204,0
0.51950494,3054.194336
0.52182985,1572.119507
0.52415282,2504.875732
0.52647567,0
0.52880069,3327.873047
0.53112362,1758.588745
0.53344857,2174.015381
0.53577147,2898.072754
0.53809438,0
0.54041937,1880.995117
0.54274227,0
0.54506517,1984.069458
0.54739015,0
0.54971307,2675.845947
0.55203802,2807.733154
0.55436097,0
0.55668385,2800.803955
0.55900878,0
0.56133173,0
0.56367127,0
0.5659942,3208.285889
0.56831918,2950.326416
0.57064209,2437.300293
0.57296493,0
0.57528997,0
0.57762744,1906.625
0.57995032,2542.455566
0.58227532,0
0.58459823,0
0.58692117,0
0.58924607,2524.740234
0.5937482,1687.463379
0.59607104,1901.031006
0.5983961,0
0.6007189,1543.492676
0.60304183,1770.755005
0.60536683,2300.373779
0.60768973,1907.163086
0.61001265,0
0.61233762,0
0.6146751,2910.638916
0.61700003,3618.401367
0.61932298,2233.902832
0.62164587,1756.774292
0.62397089,2117.781738
0.62629373,0
0.62861873,2800.364746
0.63095417,0
0.6332791,2820.32666
0.63560205,2152.21582
0.63792495,0
0.64024993,2449.617432
0.64257278,2375.394287
0.64489574,1852.861816
0.64722072,0
0.64954358,0
0.6518686,2382.936035
0.6541915,3223.50708
0.65651439,2039.978882
0.65883935,0
0.66116223,2865.854248
0.66348725,0
0.66581015,1840.350952
0.66813305,2319.15918
0.670458,0
0.67278088,2791.963135
0.67728093,3186.001709
0.67960583,1918.540649
0.68192877,1971.946167
0.68425169,2012.071777
0.68657662,0
0.68889957,1962.025513
0.69122455,2171.030762
0.69354745,0
0.6958703,2511.039307
0.69819533,2794.654785
0.70051822,2855.869385
0.7028432,3061.277344
0.70516612,0
0.707489,2816.799805
0.709814,0
0.71213687,2534.716309
0.71446188,0
0.71678478,2446.848877
0.71910767,0
0.721441,2239.164063
0.72376595,0
0.72608888,2282.012207
0.72841382,3749.477051
0.73073677,1878.984253
0.73305963,2726.007813
0.73538463,2545.370117
0.73771175,0
0.74003458,2424.600342
0.7423596,0
0.7446825,1763.873413
0.7470054,0
0.74933035,2520.155762
0.75165325,2853.679443
0.75397825,0
0.75849287,2925.733887
0.76081575,2579.010742
0.76313862,2437.88916
0.76546362,0
0.7677865,3172.527588
0.77011148,2668.611328
0.7724344,2764.887939
0.77475729,0
0.77708225,0
0.77940517,2240.212646
0.78173015,1658.962158
0.78405307,0
0.78637592,0
0.78870093,0
0.7910238,2857.42627
0.7933488,0
0.79567173,2525.269775
0.79799463,3243.213867
0.80031962,2838.682861
0.80264248,3047.191406
0.80496542,0
0.8072904,0
0.80961328,0
0.81193827,0
0.81426115,0
0.81658405,2770.190186
0.81890905,0
0.821232,4489.195313
0.82355695,0
0.82587985,0
0.82821943,0
0.83054437,0
0.8328673,0
0.83519017,0
0.83751517,0
0.84216515,0
0.84448807,3270.729248
0.84681303,0
0.84913593,3759.908203
0.85145882,0
0.87197533,0
0.88911478,0
0.90142932,0
0.91865013,0
0.93587697,3129.055176
0.95090602,0
0.9632351,0
0.97214965,0
0.98446203,0
0.9967786,0
1.009089,0
1.0290367,0
1.0462699,2864.893555
1.0669052,0
1.087547,0
1.1107445,0
1.1313695,3760.178223
1.1520006,0
1.1726358,0
1.1958668,0
1.2130979,2650.360352
1.2303249,0
1.2426498,0
1.2598789,0
1.2715184,0
1.2804329,0
1.2893557,0
1.2982703,2243.323975
1.3071868,0
1.3127014,2279.039307
1.3182139,2547.155518
1.3237305,0
1.3292554,0
1.33477,0
1.3402845,0
1.3481928,0
1.3537074,0
1.3579492,0
1.3602719,0
1.3625969,0
1.3649198,2272.552002
1.3672427,0
1.3695677,0
1.3718906,0
1.3742135,1838.366211
1.3765385,0
1.3788614,0
1.3811864,2126.82251
1.3835092,0
1.3858321,0
1.3881572,2505.388916
1.39048,0
1.392805,0
1.3951279,0
1.3974508,0
1.3997758,3675.472168
1.4020987,0
1.4044237,0
1.4067466,0
1.4090695,0
1.4113945,2596.427002
1.4137174,0
1.4160402,0
1.4183653,0
1.4206881,0
1.4252134,0
1.427536,0
1.429861,0
1.4321839,0
1.4345068,0
1.4368318,0
1.4391547,0
1.4414776,0
1.4438026,2887.380859
1.4461255,0
1.4484504,0
1.4507734,0
1.4530962,0
1.4554212,0
1.4577566,0
1.4600795,0
1.4624045,0
1.4647274,0
1.4670524,0
1.4693753,0
1.4716982,0
1.4740419,0
1.4763648,0
1.4786898,0
1.4810127,0
1.4833356,0
1.4856606,0
1.4912439,0
1.4954752,3116.23999
1.4978001,0
1.5033896,0
1.5089021,0
1.5171375,3283.449463
1.5212169,0
1.5235416,0
1.5358894,0
1.5524893,0
1.572485,0
1.5926849,0
1.6156701,0
1.6362616,0
1.6569094,0
1.6772863,0
1.7000966,0
1.7199839,0
1.7401755,0
1.7600754,0
1.7824627,0
1.8022375,0
1.821802,0
1.8414248,0
1.8637058,0
1.8832578,0
1.9028056,22310.26953
1.92222,0
1.9444719,0
1.9640947,0
1.9836654,11308.1377
2.0031611,0
2.0226901,0
2.04224,0
2.0616815,0
2.0813376,35200.45313
2.1011084,32200.11133
2.1235936,8677.853516
2.1430643,0
2.1621058,185946.2813
2.1818391,310228.3438
2.2041368,98489.21875
2.2236054,19074.74609
2.2434052,9606.716797
2.2630052,0
2.2853591,15297.73633
2.3047757,0
2.3231047,28364.54297
2.3416588,62433.27734
2.3638752,88766.60156
2.383498,24020.875
2.4031729,15823.91113
2.4230456,0
2.4430101,0
2.4623162,0
2.4805036,0
2.4986451,0
2.5138013,0
2.5292012,0
2.5427406,0
2.5569822,0
2.5720113,0
2.5869758,0
2.6070569,0
2.6241547,0
2.6432378,0
2.6630648,0
2.6831063,0
2.7060083,0
2.7263456,0
2.7469163,0
2.766487,0
2.7862931,0
2.8062596,0
2.8255887,0
2.8449907,0
2.8671946,0
2.8851445,0
2.9038068,0
2.9232651,0
2.9451982,0
2.963271,0
2.9780209,0
2.995227,0
3.014804,0
3.0371413,0
3.0563954,0
3.0749411,0
3.0946097,0
3.1168991,0
3.1367531,0
3.1570571,0
3.1773758,0
3.2003131,0
3.2202609,0
3.2400857,0
3.2595107,0
3.2792542,0
3.2971021,0
3.3151623,0
3.3331434,0
3.3528537,66612.30469
3.3753535,57247.41406
3.3946388,0
3.4110908,0
3.4247033,0
3.4412614,0
3.4565863,0
3.4745195,0
3.4929673,33444.17578
3.5117318,364563.9375
