CHROMATOGRAM,
lion_2_6ul.raw,
Data points: 3834,
Time,Intensity
0.0037056,0
0.008355517,0
0.011513753,0
0.013838719,0
0.016161616,0
0.018486602,0
0.020809467,0
0.023132419,0
0.025457385,0
0.027780286,0
0.030103186,0
0.0324282,0
0.034751033,0
0.037076035,0
0.039398967,0
0.041721868,0
0.04404685,0
0.046369786,0
0.048694717,0
0.051017586,0
0.053340518,0
0.0556655,0
0.057988369,0
0.060313383,0
0.062636267,0
0.064959199,0
0.067284166,0
0.069607086,0
0.071929982,0
0.074254933,0
0.076577849,0
0.078902852,0
0.081225768,0
0.083548668,0
0.085873651,0
0.088196483,0
0.092700683,0
0.095023584,0
0.097348534,0
0.099671466,0
0.10199643,0
0.1043193,0
0.10664223,0
0.10896722,0
0.11129008,0
0.1136151,0
0.115938,0
0.11826092,0
0.12058587,0
0.1229088,0
0.12523373,0
0.12755663,0
0.1298796,0
0.13220457,0
0.13452745,0
0.13685037,0
0.13917533,0
0.14149818,0
0.1438232,0
0.14614612,0
0.14846898,0
0.150794,0
0.1531169,0
0.15544188,0
0.15776475,0
0.16008764,0
0.16241267,0
0.16473553,0
0.16706055,0
0.16938342,0
0.17170633,0
0.17621467,0
0.17853963,0
0.18086252,0
0.18318752,0
0.1855104,0
0.18783332,0
0.1901583,0
0.1924812,0
0.19480407,0
0.19712907,0
0.19945199,0
0.20177692,0
0.20409988,0
0.20642487,0
0.20874775,0
0.21107064,0
0.21339563,0
0.21571853,0
0.2180435,0
0.22036643,0
0.22268932,0
0.2250143,0
0.22733717,0
0.22966013,0
0.2319851,0
0.23430798,0
0.23664339,0
0.23896838,0
0.24129127,0
0.24361417,0
0.24593915,0
0.24826202,0
0.25058703,0
0.25291407,0
0.25523907,0
0.25973285,0
0.26205572,0
0.26437858,0
0.2667036,0
0.2690265,0
0.27135145,0
0.2736744,0
0.2759973,0
0.27832227,0
0.28064517,0
0.28297017,0
0.28529307,0
0.28761593,0
0.2899409,0
0.29226382,0
0.29458673,0
0.29691174,0
0.29923464,0
0.30155958,0
0.3038825,0
0.3062054,0
0.30853035,0
0.3108533,0
0.31317823,0
0.3155012,0
0.31782405,0
0.32014907,0
0.32247197,0
0.32479484,0
0.32711985,0
0.32944277,0
0.33176775,0
0.33409062,0
0.33641353,0
0.33873852,0
0.34323435,0
0.34555724,0
0.3478822,0
0.35020512,0
0.35253009,0
0.35485293,0
0.35717587,0
0.35950087,0
0.36182373,0
0.36414875,0
0.36647167,0
0.36879458,0
0.3711195,0
0.37344245,0
0.37576533,0
0.37809029,0
0.38041323,0
0.38273822,0
0.3850611,0
0.38738398,0
0.38970898,0
0.39203188,0
0.39435685,0
0.39669019,0
0.39901514,0
0.40133807,0
0.40366305,0
0.40598595,0
0.40830882,0
0.41063382,0
0.41295677,0
0.41528168,0
0.41760462,0
0.41992748,0
0.42225247,0
0.42674623,0
0.42906912,0
0.4313941,0
0.43371704,0
0.43603994,0
0.43836492,0
0.44068777,0
0.4430128,0
0.4453357,0
0.44765857,0
0.45000023,0
0.45232524,0
0.45464812,0
0.45697102,0
0.459296,0
0.46163762,0
0.46396265,0
0.46630222,0
0.46862715,0
0.4709501,0
0.47327302,0
0.47559797,0
0.47792089,0
0.48024587,0
0.48256878,0
0.48489165,0
0.48723748,0
0.4895604,0
0.49188327,0
0.49420827,0
0.49653118,0
0.4988561,0
0.50117905,0
0.50350195,0
0.5058269,0
0.51033107,0
0.51265605,0
0.51497892,0
0.51730185,0
0.51962684,0
0.52194968,0
0.52427473,0
0.52659762,0
0.52892052,0
0.53124549,0
0.5335684,0
0.5358934,0
0.53821627,0
0.54053918,0
0.54286418,0
0.54519749,0
0.54752247,0
0.54984535,0
0.5521682,0
0.55449322,0
0.55682032,0
0.55914317,0
0.56146818,0
0.56379105,0
0.56611398,0
0.56843895,0
0.57076187,0
0.5730952,0
0.57542015,0
0.57774307,0
0.58006593,0
0.58239095,0
0.58471384,0
0.58703885,0
0.58936175,0
0.59386592,0
0.59618878,0
0.59851377,0
0.60083667,0
0.60315957,0
0.6054845,0
0.60780743,0
0.61013244,0
0.6124553,0
0.61477825,0
0.61710323,0
0.61942612,0
0.62175109,0
0.62407399,0
0.6263969,0
0.62872187,0
0.63104478,0
0.6333698,0
0.63569268,0
0.63801557,0
0.64034057,0
0.64266345,0
0.64498633,0
0.64731135,0
0.6496342,0
0.65195924,0
0.65428214,0
0.65660504,0
0.65892997,0
0.6612529,0
0.6635779,0
0.66590075,0
0.66822369,0
0.67054865,0
0.67287153,0
0.67737572,0
0.67970072,0
0.68202358,0
0.68434858,0
0.68667148,0
0.68899438,0
0.69131932,0
0.69364227,0
0.69596517,0
0.69829012,0
0.70061305,0
0.70293804,0
0.70526094,0
0.70758385,0
0.70990878,0
0.71223168,0
0.7145567,0
0.71689627,0
0.71921914,0
0.72154417,0
0.72386707,0
0.72618997,0
0.72851493,0
0.73083783,0
0.73316075,0
0.73548568,0
0.73780864,0
0.74013362,0
0.7424565,0
0.74477942,0
0.74710442,0
0.74942729,0
0.75175227,0
0.75409182,0
0.75859622,0
0.76092095,0
0.76324389,0
0.76556672,0
0.76789174,0
0.77023133,0
0.77255419,0
0.77487918,0
0.77720208,0
0.779525,0
0.78184997,0
0.78417288,0
0.78649787,0
0.78882075,0
0.79114365,0
0.79346865,0
0.79579157,0
0.79811654,0
0.80043945,0
0.80276235,0
0.8050873,0
0.8074248,0
0.80974772,0
0.8120727,0
0.81439555,0
0.8167185,0
0.81904343,0
0.82136635,0
0.82372262,0
0.82604757,0
0.8283705,0
0.8306934,0
0.83301839,0
0.83534127,0
0.83766627,0
0.84217468,0
0.84449747,0
0.84682247,0
0.84914535,0
0.8514703,0
0.857037,0
0.86128285,0
0.86679725,0
0.8723097,0
0.87782425,0
0.8833388,0
0.88885335,0
0.89777203,0
0.90328658,0
0.90735537,0
0.9096782,0
0.91200323,0
0.9143428,0
0.91666565,0
0.91899064,0
0.92131354,0
0.92581768,0
0.92814269,0
0.9304656,0
0.93279055,0
0.93511347,0
0.9374364,0
