CHROMATOGRAM,
ba5_acetyl_1000x_lc1.raw,
Data points: 2974,
Time,Intensity
0.003699433,0
0.008401385,0
0.011724284,0
0.014047117,0
0.016372135,0
0.018695036,0
0.021017936,0
0.023342903,0
0.025665803,0
0.027990801,0
0.030313686,0
0.032636602,0
0.034961553,0
0.037284485,0
0.039607369,0
0.041932367,0
0.044255216,0
0.04658025,0
0.048903151,0
0.051226051,0
0.053551033,0
0.055873934,0
0.0581989,0
0.060521785,0
0.062844717,0
0.065169719,0
0.067492568,0
0.069815516,0
0.07214045,0
0.074463383,0
0.076788385,0
0.079111269,0
0.08143417,0
0.083759136,0
0.0860821,0
0.088407019,0
0.092911151,0
0.095234067,0
0.097559066,0
0.09988195,0
0.10220695,0
0.10452983,0
0.10685272,0
0.10917772,0
0.11150064,0
0.11382558,0
0.1161485,0
0.11847143,0
0.12079635,0
0.1231193,0
0.1254422,0
0.12776718,0
0.13009007,0
0.13241507,0
0.13473797,0
0.13706085,0
0.13938585,0
0.14170875,0
0.14403375,0
0.14635663,0
0.14867953,0
0.15100447,0
0.1533274,0
0.1556524,0
0.15797525,0
0.16029822,0
0.16262319,0
0.16494608,0
0.16726895,0
0.16959397,0
0.17191683,0
0.17641478,0
0.17873767,0
0.18106265,0
0.18338555,0
0.18570845,0
0.18803343,0
0.1903563,0
0.19267923,0
0.19500424,0
0.19732712,0
0.19965207,0
0.201975,0
0.20429785,0
0.20662287,0
0.20894579,0
0.21127077,0
0.21359368,0
0.21591657,0
0.21824158,0
0.22056442,0
0.22288942,0
0.2252123,0
0.2275352,0
0.22986025,0
0.2321831,0
0.23450602,0
0.23683098,0
0.2391539,0
0.24147887,0
0.24380177,0
0.24612465,0
0.24844967,0
0.25077257,0
0.2530975,0
0.2554204,0
0.25991627,0
0.26224125,0
0.2645642,0
0.26701622,0
0.26934122,0
0.2716641,0
0.27398907,0
0.27631198,0
0.27863695,0
0.28095985,0
0.28328483,0
0.2856077,0
0.28793273,0
0.29025562,0
0.29257855,0
0.29490352,0
0.2972264,0
0.29955348,0
0.30187639,0
0.30419929,0
0.30652428,0
0.30884718,0
0.31117212,0
0.31349504,0
0.31581797,0
0.3181429,0
0.32046585,0
0.3227887,0
0.32511372,0
0.32743662,0
0.32976162,0
0.3320845,0
0.33440738,0
0.3367324,0
0.33905528,0
0.34355733,0
0.34588025,0
0.34820524,0
0.3505302,0
0.35285728,0
0.35518227,0
0.35750515,0
0.35982805,0
0.36215305,0
0.3644759,0
0.36679885,0
0.3691301,0
0.37145295,0
0.37377587,0
0.37610083,0
0.37842375,0
0.38074665,0
0.38307165,0
0.38539455,0
0.38771952,0
0.39004242,0
0.3923653,0
0.39469033,0
0.39701322,0
0.3993382,0
0.40166107,0
0.40398399,0
0.406309,0
0.40863185,0
0.41095478,0
0.41327978,0
0.41560267,0
0.41792763,0
0.42025055,0
0.4225734,0
0.42707363,0
0.42939633,0
0.43172132,0
0.43404419,0
0.43636917,0
0.43869208,0
0.44101495,0
0.44333998,0
0.44566285,0
0.44798783,0
0.4503107,0
0.45263365,0
0.45495857,0
0.45728152,0
0.4596065,0
0.46192942,0
0.46425232,0
0.46657728,0
0.4689002,0
0.47122305,0
0.47354807,0
0.47587099,0
0.47819592,0
0.48051887,0
0.48284175,0
0.48516675,0
0.48748964,0
0.48981463,0
0.49213753,0
0.49446042,0
0.49678542,0
0.49910832,0
0.5014333,0
0.50375618,0
0.50607907,0
0.5105813,0
0.51290407,0
0.51522903,0
0.51755193,0
0.51987483,0
0.5221998,0
0.52452269,0
0.52684562,0
0.5291706,0
0.53149347,0
0.53381848,0
0.53614137,0
0.5384643,0
0.54078923,0
0.54311217,0
0.54543715,0
0.54776003,0
0.55008295,0
0.55240794,0
0.55473084,0
0.55705372,0
0.5593787,0
0.56170158,0
0.5640266,0
0.5663495,0
0.56867237,0
0.57099738,0
0.57332028,0
0.57564527,0
0.57796815,0
0.58029107,0
0.58261605,0
0.58493893,0
0.58726397,0
0.59176603,0
0.59408888,0
0.59641392,0
0.59873679,0
0.60105965,0
0.60338468,0
0.60570757,0
0.60803255,0
0.61035547,0
0.61267835,0
0.6150033,0
0.61732622,0
0.61965122,0
0.62197415,0
0.62429702,0
0.626622,0
0.6289449,0
0.63126985,0
0.63359278,0
0.63591568,0
0.63824063,0
0.64056357,0
0.64288647,0
0.64521145,0
0.64753433,0
0.64985934,0
0.65218223,0
0.65450512,0
0.65683012,0
0.65915298,0
0.661478,0
0.6638009,0
0.66612377,0
0.66844875,0
0.67077167,0
0.6752696,0
0.67759248,0
0.6799154,0
0.68224037,0
0.68456322,0
0.68688823,0
0.68921113,0
0.69153402,0
0.69385904,0
0.69618192,0
0.69850483,0
0.70082977,0
0.70315272,0
0.7054777,0
0.70780057,0
0.71012352,0
0.71244847,0
0.71477137,0
0.71709635,0
0.71941927,0
0.72174212,0
0.7240671,0
0.72639004,0
0.728715,0
0.73103793,0
0.73336082,0
0.73568582,0
0.73800869,0
0.74033162,0
0.7426566,0
0.74497947,0
0.74730448,0
0.74962737,0
0.75195033,0
0.75427525,0
0.75877943,0
0.76110437,0
0.7634273,0
0.7657502,0
0.76807518,0
0.77039808,0
0.77272097,0
0.77504592,0
0.77736885,0
0.77969387,0
0.7820167,0
0.78433963,0
0.7866646,0
0.78898753,0
0.79131247,0
0.79363542,0
0.79595827,0
0.79828329,0
0.8006062,0
0.8029291,0
0.80525409,0
0.80757697,0
0.80990197,0
0.81222487,0
0.81454777,0
0.8168936,0
0.81921858,0
0.82154148,0
0.82386438,0
0.82618932,0
0.8317768,0
0.83731217,0
0.84284132,0
0.85077247,0
0.86310365,0
0.87543897,0
0.88776805,0
0.90011588,0
0.91244705,0
0.92969067,0
0.95272592,0
0.96996747,0
0.98721332,0
1.0078675,0
1.0274964,0
1.0447337,0
1.0619731,0
1.0792188,0
1.0964667,0
1.1160935,0
1.1250331,0
1.1305685,0
1.1360975,0
1.1416371,0
1.1471663,0
1.1526975,0
1.1582287,0
1.1637599,0
1.1692994,0
1.1748327,0
1.1827493,0
1.1882826,0
1.1938138,0
1.199345,0
1.2048763,0
1.2104075,0
1.2159407,0
1.221474,0
1.2270053,0
1.2325365,0
1.2380677,0
1.243603,0
1.2491384,0
1.2546863,0
1.2602196,0
1.2681466,0
1.2736778,0
1.279207,0
1.2847382,0
1.2902694,0
1.2958027,0
1.3013464,0
1.3068776,0
1.3124088,0
1.3213525,0
1.3302858,0
1.3392169,0
1.3481523,0
1.359471,0
1.3684022,0
1.37735,0
1.3862791,0
1.3952124,0
1.4041394,0
1.413079,0
1.4220164,0
1.4309456,0
1.4456787,0
1.458014,0
1.4703431,0
1.4792909,0
1.4882221,0
1.5005533,0
1.5128845,0
1.5350073,0
1.5531884,0
1.5680779,0
1.5807049,0
1.5974485,0
1.6129359,0
1.6248587,0
1.6377587,0
1.6530148,0
1.6704459,0
1.6880812,0
1.7080478,0
1.728708,0
1.7493828,0
1.766639,0
1.7817305,0
1.7939054,0
1.8136158,0
1.8331322,0
1.8502571,0
1.8736819,0
1.8902755,9045.620117
1.9110506,0
1.9315943,0
1.9466315,0
1.9555939,0
1.9645563,0
1.9769395,0
1.9893207,0
1.9982831,0
2.0037977,0
2.0093143,0
2.0172142,0
2.0227454,0
2.02826,0
2.0337725,0
2.039287,0
2.0448016,0
2.0503161,0
2.0592286,0
2.0715472,0
2.0830888,0
2.0947388,0
2.1145533,0
2.1318615,0
2.1525654,0
2.1732611,0
2.181609,0
2.1858339,0
2.1881589,0
2.193688,0
2.1977612,0
2.2000859,0
2.2024088,0
2.2047317,0
2.2070567,0
2.2160608,0
2.225069,0
2.2340919,0
2.2431023,0
2.2486335,0
2.2541647,0
2.259696,0
2.2641897,0
2.269725,0
2.2786603,0
2.2910769,3999.124512
2.3034997,0
2.3090955,0
2.3146976,5737.878906
2.3189413,0
2.3244704,0
2.3300121,3828.870361
2.3342474,0
2.3365703,2604.303711
2.3455953,0
2.3607306,0
2.3731284,10793
2.3821159,10881.57813
2.3876825,9727.648438
2.3932449,7659.147949
2.3988262,5424.97168
2.4043928,5260.444336
2.4099595,3708.333008
2.4142073,3527.280029
2.4165323,3305.36499
2.4188552,5096.383789
2.4211802,0
2.4256864,6702.741211
2.4280093,2944.835693
2.4303322,5035.245117
2.4326572,3464.775146
2.4349801,4858.847656
2.4373051,2839.844482
2.4429363,3834.927734
2.4470091,3651.905273
2.4558883,0
2.4683173,2959.690918
2.4772964,3483.924316
2.4862776,0
2.5064004,0
2.5208816,0
2.5376564,0
2.5496647,0
2.5579688,0
2.5663145,0
2.5871874,0
2.6061393,0
2.617735,0
2.6277766,0
2.6320703,0
2.6402245,0
2.648789,0
2.6577139,0
2.6667618,2571.160645
2.6758117,0
2.6875741,0
2.6966199,0
2.7021865,0
2.7077552,0
2.7133219,0
2.7222885,0
2.731253,0
2.7402238,0
2.7491883,0
2.7581487,0
2.7695048,9973.890625
2.7735714,45099.64063
2.7791339,100494.8125
2.7846984,145548.7031
2.788763,155010.2656
2.7910859,188633.0313
2.7967233,205074.4063
2.8022691,142511.9688
2.8112087,100163.2344
2.8200544,65896.09375
2.8323335,0
2.8449105,364347.125
2.8566979,346316.3125
2.8727041,151150.1094
2.8843227,114356.25
2.8984602,28102.01758
2.9056101,50997.05078
2.9173246,17160.19336
2.9346767,65576.36719
2.9579744,3583176
2.9755036,2754764
2.9929074,3858093.75
3.0054407,3171439.5
3.0178739,1681388.5
3.0378739,480196.875
3.0549758,284008.9063
3.0759589,144526.5781
3.0931942,143113.1563
3.1158378,123722.7266
3.1354668,130408.6641
3.1530625,110796.3516
3.1677936,0
3.1870581,0
3.20681,0
3.2256891,0
3.240741,0
3.2558326,0
3.2738346,0
3.2900407,0
3.3076677,0
3.3256759,13973.01367
3.3438466,0
3.3651048,0
3.3837859,0
3.4024524,0
3.4196628,85923.70313
3.4409897,87623.00781
3.4607333,49165.69922
3.480404,22802.59961
3.4986456,16902.41602
3.5176037,29371.73047
3.5408973,18936.33594
3.5617515,6231.067383
3.5791951,5638.168945
3.600076,6745.342773
3.623655,4010.653564
3.6410591,5771.568359
3.6619424,0
3.6743443,0
3.689115,3550.264893
3.7092919,40816.59375
3.7286147,285346.1875
3.7451479,0
3.7600957,0
3.7768685,0
3.7918872,0
3.8069204,0
3.8218141,0
3.8367056,0
3.8519744,0
3.8690658,114456.4063
3.8873699,142125.5
3.904674,0
3.9220592,28121.14258
3.9403174,16756.22656
3.9580735,0
3.9759171,0
3.9938378,40045.31641
4.0111107,167349.8125
4.0311792,173146.7969
4.0493458,56414.24219
4.0689123,12513.96191
4.0886102,9161.09668
4.1115016,12990.47754
4.1316078,11332.25586
4.1520202,14164.05371
4.1723158,7465.438965
4.1955718,8433.761719
4.216455,4080.121094
4.2289695,0
4.2499194,0
4.2704484,0
4.2939628,0
4.3135127,0
4.3251584,0
4.3430417,0
4.3648727,4487.680176
4.3858123,3503.603271
4.403237,0
4.4122703,3239.753174
4.4213077,0
4.4303369,0
4.4420888,0
4.451118,0
4.4636366,5644.43457
4.4761469,0
4.4886885,0
4.4977385,0
4.5067655,0
4.5185154,0
4.5310111,0
4.5493402,0
4.566463,0
4.5724775,0
4.5784921,0
4.5923149,0
4.6094314,0
4.6199001,0
4.6315896,0
4.6401854,0
4.6521915,0
4.661106,0
4.680833,0
4.7028516,0
4.7202703,0
4.7388055,0
4.7584971,0
4.7793823,0
4.7977655,0
4.8163445,0
4.8347445,0
4.8545422,0
4.8776858,0
4.8975003,0
4.9172043,0
4.9368917,11957.32324
4.959429,8429.44043
4.9792038,10508.05762
4.9987391,21291.41016
5.0175411,0
5.0374472,0
5.0560554,0
5.0748573,0
5.0953156,0
5.1161926,0
5.1371048,0
5.1495672,0
5.1690421,0
5.1904336,0
5.2096897,0
5.2303166,0
5.247729,0
5.2646915,0
5.288285,0
5.3057079,0
5.314739,0
5.3203098,0
5.3245452,0
5.3268681,0
5.3291931,0
