CHROMATOGRAM,
Lion_3_6uL.raw,
Data points: 2862,
Time,Intensity
0.003608651,0
0.008260619,0
0.011406449,1612.536621
0.013731368,0
0.0160543,0
0.018377168,1411.89502
0.020702202,1392.613647
0.023025103,0
0.025350069,0
0.027672985,0
0.029995902,0
0.032320868,0
0.034643753,0
0.036968767,0
0.039291651,0
0.041614536,0
0.04393955,0
0.046262403,1503.974487
0.048585335,0
0.050910333,0
0.053233217,0
0.055558168,1418.651367
0.0578811,1398.712402
0.060206083,0
0.062528967,0
0.064851883,0
0.067176886,1331.992798
0.069499786,0
0.071824717,1540.500977
0.074147669,1329.862671
0.076472635,0
0.0787955,0
0.081120502,0
0.083443402,0
0.085766283,0
0.088091249,0
0.092593367,0
0.094916236,1800.117676
0.097241234,0
0.099564083,0
0.10188907,1641.540039
0.10421203,1198.914917
0.10653492,0
0.10885985,0
0.1111828,0
0.11350778,0
0.11583065,0
0.1181536,0
0.12047857,0
0.12280149,0
0.12512642,0
0.12744937,0
0.12977225,0
0.13209724,0
0.13442014,0
0.13674513,0
0.13906803,1913.665161
0.1413909,0
0.14371592,0
0.14603882,0
0.1483617,0
0.15068668,0
0.15300955,0
0.15533457,0
0.15765748,0
0.15998038,1212.37915
0.1623053,1738.149048
0.16462827,1257.234375
0.16695323,0
0.16927612,0
0.17159902,0
0.17610737,0
0.17843022,0
0.18075523,0
0.18309273,0
0.18541559,0
0.18774064,0
0.19006352,0
0.1923864,1594.675659
0.19471138,0
0.1970343,0
0.1993593,0
0.20168217,0
0.20401548,0
0.20633835,0
0.20866338,0
0.21098627,0
0.21330918,1415.637817
0.21563412,0
0.21795705,0
0.22027997,0
0.22260492,0
0.22492785,0
0.22725278,0
0.22957572,1696.209473
0.2318986,0
0.2342236,0
0.23655068,0
0.23887357,0
0.24119857,0
0.24352148,1625.568726
0.24584645,0
0.24816935,1259.51123
0.25049225,0
0.2528172,1989.407227
0.2551401,1940.584839
0.25963797,0
0.2619609,0
0.26428587,0
0.2666088,1432.654419
0.26893167,0
0.27125668,0
0.27358585,0
0.2759087,0
0.27823373,1711.0802
0.28055663,0
0.28287952,0
0.28520447,0
0.2875274,0
0.28985863,0
0.29218362,0
0.29450652,0
0.29682943,0
0.2991544,0
0.30147728,0
0.30380022,0
0.30612518,1755.406128
0.30844807,0
0.31077309,0
0.31309593,0
0.31541888,0
0.31774387,0
0.320073,0
0.32239587,0
0.32471882,0
0.32704797,0
0.32937085,0
0.33169583,0
0.33401875,0
0.33634165,0
0.3386666,0
0.34316455,0
0.34548742,0
0.3478103,0
0.35013527,0
0.3524582,0
0.35478108,0
0.35710608,0
0.35942897,0
0.36175397,0
0.36408312,0
0.36640597,1574.56543
0.36873102,0
0.37105393,0
0.37337679,1364.833008
0.37570175,0
0.37802468,0
0.380358,0
0.38268088,1336.302856
0.38500588,2018.869385
0.38732878,1446.828003
0.38965168,0
0.39197662,0
0.39429957,1889.264038
0.39663289,0
0.39895577,0
0.4012787,1558.311157
0.40360368,0
0.40592657,0
0.40824945,0
0.41057447,0
0.41289732,0
0.41522232,0
0.41754523,0
0.41986812,0
0.42219309,2104.709717
0.42670562,0
0.42903052,0
0.43135348,0
0.43367845,0
0.43600134,0
0.43832428,1547.448975
0.44064923,0
0.44297215,1467.366943
0.44529709,0
0.44762002,2662.152832
0.44994293,0
0.45226788,1562.45166
0.45459085,0
0.45691372,0
0.45923868,2635.658447
0.4615616,2598.018066
0.46388658,1481.483521
0.46620948,1885.364868
0.46853238,1384.324097
0.47085735,3041.065674
0.47318022,2037.057617
0.47550523,0
0.47782808,2000.498047
0.48015103,1944.355957
0.48247598,1782.218262
0.48479892,2762.075928
0.4871239,2575.078613
0.48944678,1948.260132
0.49176972,3152.794922
0.4940947,2623.23291
0.49641759,1990.884277
0.49874049,2571.384033
0.50106548,2616.845459
0.5033884,0
0.50571332,3221.286377
0.51021127,3564.860596
0.51253413,1461.991577
0.51485703,0
0.51718204,2891.756104
0.51950494,0
0.52182985,2787.005371
0.52415282,2985.043213
0.52647567,2957.301025
0.52880069,2356.343018
0.53112362,2006.520996
0.53344857,2919.234375
0.53577147,2593.326416
0.53809438,2166.898193
0.54041937,0
0.54274227,2656.296143
0.54506517,2163.555664
0.54739015,2576.396729
0.54971307,0
0.55203802,2672.759033
0.55436097,2624.442383
0.55668385,2511.041748
0.55900878,3118.709473
0.56133173,2249.345459
0.56367127,1956.75061
0.5659942,2547.587158
0.56831918,3616.891113
0.57064209,0
0.57296493,2835.068604
0.57528997,3165.596924
0.57762744,1884.285889
0.57995032,0
0.58227532,2382.308594
0.58459823,0
0.58692117,2636.005615
0.58924607,3210.780518
0.5937482,1713.220093
0.59607104,2956.421875
0.5983961,3271.422363
0.6007189,2628.781738
0.60304183,2028.113281
0.60536683,1705.936035
0.60768973,2110.928467
0.61001265,2424.151367
0.61233762,2968.447021
0.6146751,2167.358154
0.61700003,2282.302002
0.61932298,0
0.62164587,2718.387695
0.62397089,1636.345093
0.62629373,3017.781982
0.62861873,2708.615967
0.63095417,2549.929932
0.6332791,2463.201172
0.63560205,2507.030518
0.63792495,0
0.64024993,1699.829346
0.64257278,1529.607544
0.64489574,2939.14624
0.64722072,2027.581055
0.64954358,2444.00293
0.6518686,2651.515869
0.6541915,3767.540771
0.65651439,2854.878174
0.65883935,2234.939941
0.66116223,3917.203857
0.66348725,1797.673096
0.66581015,3141.583252
0.66813305,3064.02002
0.670458,2134.034668
0.67278088,2738.632813
0.67728093,3592.93335
0.67960583,0
0.68192877,2235.827393
0.68425169,0
0.68657662,2859.858643
0.68889957,2142.570557
0.69122455,2325.354492
0.69354745,2404.65625
0.6958703,3136.445313
0.69819533,2588.280273
0.70051822,2420.024902
0.7028432,2066.904541
0.70516612,0
0.707489,2560.359131
0.709814,1594.792236
0.71213687,0
0.71446188,2905.318359
0.71678478,2590.420166
0.71910767,2767.671875
0.721441,2482.784912
0.72376595,1875.541504
0.72608888,2581.29248
0.72841382,2230.968018
0.73073677,3278.072021
0.73305963,2123.727051
0.73538463,1473.609009
0.73771175,3325.647217
0.74003458,2116.285156
0.7423596,2979.825195
0.7446825,2379.517334
0.7470054,1846.244507
0.74933035,3428.640137
0.75165325,2509.066895
0.75397825,1661.7677
0.75849287,4228.640137
0.76081575,2391.398438
0.76313862,1990.857422
0.76546362,2092.700684
0.7677865,2697.549316
0.77011148,3248.957764
0.7724344,1817.29126
0.77475729,2142.296631
0.77708225,3004.653809
0.77940517,1768.239136
0.78173015,2174.376221
0.78405307,0
0.78637592,3917.960205
0.78870093,2220.588623
0.7910238,0
0.7933488,3105.553223
0.79567173,0
0.79799463,2709.238037
0.80031962,1829.294434
0.80264248,2267.608887
0.80496542,0
0.8072904,0
0.80961328,0
0.81193827,0
0.81426115,0
0.81658405,0
0.81890905,2586.543701
0.821232,0
0.82355695,0
0.82587985,0
0.82821943,0
0.83054437,0
0.8328673,0
0.83519017,0
0.83751517,0
0.84216515,0
0.84448807,0
0.84681303,0
0.84913593,0
0.85145882,3393.778564
0.87197533,0
0.88911478,3873.450928
0.90142932,0
0.91865013,0
0.93587697,0
0.95090602,0
0.9632351,0
0.97214965,2399.307373
0.98446203,0
0.9967786,0
1.009089,0
1.0290367,0
1.0462699,3236.901123
1.0669052,3292.036865
1.087547,0
1.1107445,0
1.1313695,0
1.1520006,2828.685059
1.1726358,0
1.1958668,0
1.2130979,0
1.2303249,0
1.2426498,0
1.2598789,0
1.2715184,0
1.2804329,0
1.2893557,0
1.2982703,0
1.3071868,0
1.3127014,0
1.3182139,2375.282227
1.3237305,0
1.3292554,0
1.33477,0
1.3402845,3142.829346
1.3481928,0
1.3537074,0
1.3579492,0
1.3602719,0
1.3625969,0
1.3649198,0
1.3672427,0
1.3695677,0
1.3718906,0
1.3742135,0
1.3765385,0
1.3788614,0
1.3811864,0
1.3835092,0
1.3858321,0
1.3881572,2223.393311
1.39048,0
1.392805,0
1.3951279,0
1.3974508,0
1.3997758,1810.74292
1.4020987,0
1.4044237,0
1.4067466,2648.616455
1.4090695,0
1.4113945,0
1.4137174,0
1.4160402,0
1.4183653,2414.822266
1.4206881,0
1.4252134,0
1.427536,2681.081787
1.429861,0
1.4321839,0
1.4345068,0
1.4368318,0
1.4391547,0
1.4414776,0
1.4438026,0
1.4461255,0
1.4484504,0
1.4507734,0
1.4530962,0
1.4554212,0
1.4577566,0
1.4600795,0
1.4624045,0
1.4647274,0
1.4670524,0
1.4693753,0
1.4716982,0
1.4740419,0
1.4763648,0
1.4786898,0
1.4810127,0
1.4833356,0
1.4856606,0
1.4912439,0
1.4954752,0
1.4978001,0
1.5033896,0
1.5089021,0
1.5171375,0
1.5212169,0
1.5235416,0
1.5358894,0
1.5524893,0
1.572485,0
1.5926849,0
1.6156701,0
1.6362616,0
1.6569094,0
1.6772863,0
1.7000966,0
1.7199839,0
1.7401755,0
1.7600754,0
1.7824627,0
1.8022375,0
1.821802,0
1.8414248,0
1.8637058,0
1.8832578,0
1.9028056,0
1.92222,0
1.9444719,0
1.9640947,6989.76709
1.9836654,0
2.0031611,0
2.0226901,0
2.04224,0
2.0616815,0
2.0813376,0
2.1011084,19359.2207
2.1235936,11658.23047
2.1430643,0
2.1621058,0
2.1818391,13089.11133
2.2041368,0
2.2236054,0
2.2434052,0
2.2630052,0
2.2853591,0
2.3047757,0
2.3231047,0
2.3416588,0
2.3638752,0
2.383498,0
2.4031729,0
2.4230456,0
2.4430101,0
2.4623162,0
2.4805036,0
2.4986451,0
2.5138013,0
2.5292012,0
2.5427406,0
2.5569822,0
2.5720113,0
2.5869758,0
2.6070569,36780.45313
2.6241547,23937.75781
2.6432378,8761.025391
2.6630648,30982.0332
2.6831063,280927.6563
2.7060083,1639438.375
2.7263456,791029.9375
2.7469163,203177.9531
2.766487,67736.53125
2.7862931,29224.26953
2.8062596,16201.95801
2.8255887,0
2.8449907,0
2.8671946,0
2.8851445,0
2.9038068,0
2.9232651,0
2.9451982,0
2.963271,0
2.9780209,0
2.995227,0
3.014804,0
3.0371413,216591.7969
3.0563954,1714144
3.0749411,968180.125
3.0946097,347984.0625
