CHROMATOGRAM,
ba5_100times_dil.raw,
Data points: 2549,
Time,Intensity
0.003694116,2579.006104
0.008346016,1721.106323
0.011500219,2040.625244
0.013825134,1758.347412
0.016148066,2654.780762
0.018473052,1386.305542
0.020795952,0
0.023118869,1770.288086
0.025443851,1487.393311
0.027766751,1977.397949
0.030091718,0
0.032414618,1713.357666
0.034737534,1666.97168
0.037062517,1959.343262
0.039385401,1285.836914
0.041708333,2401.974854
0.0440333,0
0.0463562,2019.23999
0.048681203,1341.162354
0.051004051,1883.710205
0.053326983,2324.035645
0.055651934,1511.868774
0.057974866,1423.539307
0.060299869,1693.245605
0.062622753,0
0.064945649,0
0.067270616,1212.743896
0.069593536,1448.285889
0.071918483,0
0.074241419,1626.968994
0.076564319,1529.32251
0.078889317,0
0.081212202,0
0.083535086,3382.407715
0.085860101,0
0.088182969,1651.127197
0.092689235,0
0.095014202,1384.077026
0.097337086,0
0.099662085,1402.959717
0.101985,1552.654419
0.10430783,1786.0979
0.10663287,1425.914917
0.10895572,0
0.11128075,0
0.11360365,0
0.11592657,1313.946411
0.11825155,0
0.1205744,2113.334229
0.12289732,0
0.12522228,1386.573975
0.1275452,1846.994751
0.12987229,0
0.1321952,1321.636353
0.13452018,0
0.13684307,2087.311523
0.13916807,1254.072144
0.14149095,0
0.14381384,1640.171021
0.14613885,0
0.14846172,0
0.15078882,1252.03418
0.1531117,1837.568115
0.15543669,0
0.15775957,2083.826172
0.16008248,1387.250488
0.16240743,1675.82251
0.16473037,0
0.16705745,1680.574463
0.16938238,1205.883057
0.17170528,2481.026855
0.17620967,1867.64856
0.17853438,1579.510498
0.18085732,0
0.18318233,0
0.18550523,0
0.18782812,1444.774048
0.19015309,0
0.19247599,0
0.19480098,0
0.19712385,0
0.19944677,0
0.20177178,1544.185791
0.20409467,0
0.20641752,0
0.20874255,2127.483398
0.2110654,1439.776489
0.21339043,3458.887695
0.2157133,2346.196777
0.21803623,1737.15271
0.22036122,1853.380371
0.22268412,0
0.2250091,2047.862549
0.22733198,2394.211426
0.2296549,2245.493164
0.23197985,0
0.23430279,2127.959229
0.23662777,1476.937256
0.23895068,2000.486206
0.24127359,2246.823486
0.24359857,2021.494629
0.24592145,1899.307495
0.24824642,2486.277832
0.25056935,2724.924561
0.25289227,2027.700562
0.25521723,2180.018311
0.25972778,1594.135498
0.2620505,1770.062256
0.26437337,1491.72522
0.2666984,1851.584717
0.26902125,2251.226563
0.27134418,2418.311035
0.27366918,2364.376709
0.2759921,1637.213989
0.27831705,1676.307251
0.28063995,2167.336426
0.28296285,2121.646973
0.28528785,2163.08667
0.28761077,0
0.28994199,2053.173828
0.29226485,4516.966797
0.29458988,2130.647461
0.29691277,2840.70874
0.29923567,2994.010742
0.30156064,3380.509277
0.30388355,0
0.30620645,4424.104004
0.30853145,1825.89502
0.31085433,2925.859375
0.31317933,2377.300537
0.31550223,3670.871826
0.31782509,2364.21582
0.32015012,4360.232422
0.32247297,3998.092773
0.32479802,3936.858643
0.32712715,3676.767334
0.32945213,3348.925049
0.33177502,4431.403809
0.3340979,2873.671631
0.33642287,3166.266846
0.33874577,2915.196533
0.34324808,3616.808838
0.34557072,5012.115723
0.34789365,3770.637939
0.35021863,5057.012207
0.35254155,6607.760742
0.35486652,4591.712402
0.35718942,2861.461182
0.35951232,4218.089355
0.3618373,4390.395996
0.36416018,3865.822998
0.36648519,3336.314453
0.36880809,3370.234375
0.37113097,4098.293457
0.37345597,3998.804932
0.37577883,3576.875
0.37810179,4454.049805
0.38042675,5526.812012
0.38274968,3669.368652
0.38507469,1879.850098
0.38739752,4855.462891
0.38972045,5225.003906
0.3920454,3073.049561
0.39436832,4690.727051
0.3966933,4132.820313
0.39901622,2611.982666
0.40133913,3602.343506
0.4036641,3437.332764
0.405987,5374.868652
0.40831195,5401.518555
0.41063488,3649.980957
0.41295777,4421.870605
0.41528277,4722.474609
0.41760567,4021.498047
0.41993064,6326.494629
0.42225353,5485.742676
0.42675583,5395.981445
0.42907845,4193.01123
0.43140347,6723.436523
0.43372639,4293.240723
0.43604929,3986.703125
0.43837427,4331.316895
0.44069715,3993.943359
0.44302007,5884.181641
0.44534504,3915.479736
0.44766795,3291.420898
0.44999297,4251.260254
0.45231585,5836.647461
0.45463873,4143.638672
0.45696372,5656.285156
0.45928662,3594.715088
0.46161157,4365.984375
0.4639345,3496.71167
0.46625735,4218.763672
0.46858238,5488.305664
0.47090528,5170.560547
0.47323029,5344.958008
0.47555313,4482.334961
0.47787605,5605.38916
0.48020105,2327.470703
0.48252392,5495.881348
0.48484685,4303.386719
0.48717184,3261.067871
0.48949475,4877.916016
0.49181975,4341.5625
0.49414262,4896.814941
0.49646552,4310.133789
0.49879047,5274.699219
0.5011134,4498.26709
0.5034384,5902.352051
0.50576125,4132.759766
0.51025517,3954.458496
0.51258,5525.750977
0.51490288,3346.786377
0.51722582,5869.717285
0.51955077,5800.602539
0.52187368,3778.384521
0.52419867,5408.745605
0.52652157,4896.331055
0.52884447,6172.896973
0.53116942,3913.720703
0.53349235,5034.270508
0.53581728,4591.564453
0.53814022,5914.345703
0.54046313,3398.707764
0.54278807,5158.377441
0.54511102,4737.043945
0.54743599,2459.260498
0.54975888,4322.548828
0.55208178,3302.505615
0.55440677,4551.341797
0.55672967,4104.485352
0.55905467,4265.148926
0.56138173,6956.373535
0.5637067,3918.906982
0.56602962,4368.751953
0.56835252,5466.289063
0.5706775,4185.952148
0.57300035,5149.914063
0.57532538,3043.465088
0.57764829,4935.285645
0.5799712,4059.584717
0.58229617,4392.803711
0.58461903,3133.273193
0.58694193,4588.475098
0.5892669,3930.511475
0.59376924,6123.52832
0.59609192,4077.903564
0.59841482,3716.915039
0.60073977,5395.893066
0.60306268,3459.659424
0.60538557,5372.569824
0.60771057,3964.05835
0.61003347,6407.059082
0.61235847,4257.140137
0.61468135,6635.630859
0.61700427,5988.661621
0.61932925,4312.936523
0.6216521,4592.453125
0.62397712,6883.055664
0.62629997,5619.772461
0.62862292,3640.531494
0.6309479,4930.326172
0.63327082,4295.640137
0.63559575,3397.746826
0.63791867,5520.854004
0.64024158,5782.984863
0.64256655,5859.024414
0.64488947,5829.553711
0.64721239,7065.771973
0.64953737,3066.405029
0.65186028,3401.710693
0.65418523,4977.805664
0.65650815,3979.560547
0.65883104,4076.006592
0.66115602,3582.339111
0.66347892,6301.976074
0.6658039,5873.146484
0.66812682,5605.375977
0.67044972,5486.211914
0.67277465,5107.71875
0.6772726,5228.548828
0.67959549,4002.907959
0.68192047,4227.299805
0.68424337,7025.086426
0.68656837,5289.038574
0.68889125,5563.835449
0.69121412,5417.671387
0.69353913,5413.860352
0.695862,4534.782715
0.69818702,4417.112793
0.70050992,5101.42041
0.70283283,3999.932373
0.7051578,3685.920654
0.7074807,4615.507813
0.7098057,4846.742188
0.71212855,3730.835205
0.71445148,2915.276367
0.7167765,4562.45166
0.71909937,4309.764648
0.72142227,5286.223145
0.72374727,3510.568115
0.72607015,5720.605469
0.7283951,6015.763672
0.73071804,5123.873047
0.73304088,5070.900391
0.73536592,6578.9375
0.73768882,5127.115234
0.74001383,5531.199707
