CHROMATOGRAM,
ba5_100times_dil.raw,
Data points: 2549,
Time,Intensity
0.003694116,0
0.008346016,0
0.011500219,0
0.013825134,0
0.016148066,0
0.018473052,0
0.020795952,0
0.023118869,0
0.025443851,0
0.027766751,0
0.030091718,0
0.032414618,0
0.034737534,0
0.037062517,0
0.039385401,0
0.041708333,0
0.0440333,0
0.0463562,0
0.048681203,0
0.051004051,0
0.053326983,0
0.055651934,0
0.057974866,0
0.060299869,0
0.062622753,0
0.064945649,0
0.067270616,0
0.069593536,0
0.071918483,0
0.074241419,0
0.076564319,0
0.078889317,0
0.081212202,0
0.083535086,0
0.085860101,0
0.088182969,0
0.092689235,0
0.095014202,0
0.097337086,0
0.099662085,0
0.101985,0
0.10430783,0
0.10663287,0
0.10895572,0
0.11128075,0
0.11360365,0
0.11592657,0
0.11825155,0
0.1205744,0
0.12289732,0
0.12522228,0
0.1275452,0
0.12987229,0
0.1321952,0
0.13452018,0
0.13684307,0
0.13916807,0
0.14149095,0
0.14381384,0
0.14613885,0
0.14846172,0
0.15078882,0
0.1531117,0
0.15543669,0
0.15775957,0
0.16008248,0
0.16240743,0
0.16473037,0
0.16705745,0
0.16938238,0
0.17170528,0
0.17620967,0
0.17853438,0
0.18085732,0
0.18318233,0
0.18550523,0
0.18782812,0
0.19015309,0
0.19247599,0
0.19480098,0
0.19712385,0
0.19944677,0
0.20177178,0
0.20409467,0
0.20641752,0
0.20874255,0
0.2110654,0
0.21339043,0
0.2157133,0
0.21803623,0
0.22036122,0
0.22268412,0
0.2250091,0
0.22733198,0
0.2296549,0
0.23197985,0
0.23430279,0
0.23662777,0
0.23895068,0
0.24127359,0
0.24359857,0
0.24592145,0
0.24824642,0
0.25056935,0
0.25289227,0
0.25521723,0
0.25972778,0
0.2620505,0
0.26437337,0
0.2666984,0
0.26902125,0
0.27134418,0
0.27366918,0
0.2759921,0
0.27831705,0
0.28063995,0
0.28296285,0
0.28528785,0
0.28761077,0
0.28994199,0
0.29226485,0
0.29458988,0
0.29691277,0
0.29923567,0
0.30156064,0
0.30388355,0
0.30620645,0
0.30853145,0
0.31085433,0
0.31317933,0
0.31550223,0
0.31782509,0
0.32015012,0
0.32247297,0
0.32479802,0
0.32712715,0
0.32945213,0
0.33177502,0
0.3340979,0
0.33642287,0
0.33874577,0
0.34324808,0
0.34557072,0
0.34789365,0
0.35021863,0
0.35254155,0
0.35486652,0
0.35718942,0
0.35951232,0
0.3618373,0
0.36416018,0
0.36648519,0
0.36880809,0
0.37113097,0
0.37345597,0
0.37577883,0
0.37810179,0
0.38042675,0
0.38274968,0
0.38507469,0
0.38739752,0
0.38972045,0
0.3920454,0
0.39436832,0
0.3966933,0
0.39901622,0
0.40133913,0
0.4036641,0
0.405987,0
0.40831195,0
0.41063488,0
0.41295777,0
0.41528277,0
0.41760567,0
0.41993064,0
0.42225353,1501.957275
0.42675583,0
0.42907845,0
0.43140347,0
0.43372639,0
0.43604929,0
0.43837427,0
0.44069715,0
0.44302007,0
0.44534504,0
0.44766795,0
0.44999297,0
0.45231585,0
0.45463873,0
0.45696372,0
0.45928662,0
0.46161157,0
0.4639345,0
0.46625735,0
0.46858238,0
0.47090528,0
0.47323029,0
0.47555313,0
0.47787605,0
0.48020105,0
0.48252392,0
0.48484685,0
0.48717184,0
0.48949475,0
0.49181975,0
0.49414262,0
0.49646552,0
0.49879047,0
0.5011134,0
0.5034384,0
0.50576125,0
0.51025517,0
0.51258,0
0.51490288,0
0.51722582,0
0.51955077,0
0.52187368,0
0.52419867,0
0.52652157,0
0.52884447,0
0.53116942,0
0.53349235,0
0.53581728,0
0.53814022,0
0.54046313,0
0.54278807,0
0.54511102,0
0.54743599,0
0.54975888,0
0.55208178,0
0.55440677,0
0.55672967,0
0.55905467,0
0.56138173,0
0.5637067,0
0.56602962,0
0.56835252,0
0.5706775,0
0.57300035,0
0.57532538,0
0.57764829,0
0.5799712,0
0.58229617,0
0.58461903,0
0.58694193,0
0.5892669,0
0.59376924,0
0.59609192,0
0.59841482,0
0.60073977,0
0.60306268,0
0.60538557,0
0.60771057,0
0.61003347,0
0.61235847,0
0.61468135,0
0.61700427,0
0.61932925,0
0.6216521,0
0.62397712,0
0.62629997,0
0.62862292,0
0.6309479,0
0.63327082,0
0.63559575,0
0.63791867,0
0.64024158,0
0.64256655,0
0.64488947,0
0.64721239,1572.389526
0.64953737,0
0.65186028,0
0.65418523,0
0.65650815,0
0.65883104,0
0.66115602,0
0.66347892,0
0.6658039,0
0.66812682,0
0.67044972,0
0.67277465,0
0.6772726,0
0.67959549,0
0.68192047,0
0.68424337,0
0.68656837,0
0.68889125,0
0.69121412,0
0.69353913,0
0.695862,0
0.69818702,0
0.70050992,0
0.70283283,0
0.7051578,0
0.7074807,0
0.7098057,0
0.71212855,0
0.71445148,0
0.7167765,0
0.71909937,0
0.72142227,0
0.72374727,0
0.72607015,0
0.7283951,0
0.73071804,0
0.73304088,0
0.73536592,0
0.73768882,0
0.74001383,0
0.74233672,0
0.74465959,0
0.74698458,0
0.74930745,0
0.75163248,0
0.75395534,0
0.75845332,0
0.76077825,0
0.76310117,0
0.7654261,0
0.76774905,0
0.77007195,0
0.77239693,0
0.77473652,0
0.7770594,0
0.77938437,0
0.78170725,0
0.78404267,0
0.78636555,0
0.78869055,0
0.79102597,0
0.7933509,0
0.79567387,0
0.7979988,0
0.80032172,0
0.80264462,0
0.8049696,0
0.8072925,0
0.80961542,0
0.81194037,2215.712891
0.81426327,0
0.81658827,0
0.81891115,0
0.82123408,0
0.82355903,0
0.82588195,0
0.82820692,0
0.83052982,0
0.83285272,0
0.83517772,0
0.8375006,0
0.84154853,0
0.8462068,0
0.85320672,0
0.86934413,0
0.88886897,0
0.90844175,0
0.9279062,0
0.94999565,0
0.96891222,0
0.98715585,0
1.0051515,0
1.0247555,0
1.0419096,0
1.0590199,0
1.0773593,0
1.0958279,0
1.1169965,0
1.1355861,0
1.1548025,0
1.1752149,0
1.1950106,0
1.2119813,0
1.2326541,0
1.2530791,0
1.2737081,0
1.2965641,0
1.3163347,0
1.3359013,0
1.354847,0
1.3760615,0
1.39443,0
1.4126257,0
1.4307819,0
1.4508213,0
1.4689858,0
1.486219,0
1.5042085,0
1.5231687,0
1.540354,0
1.556731,0
1.5725433,0
1.5876932,0
1.602364,0
1.611464,0
1.6203389,0
1.6304534,0
1.6425804,0
1.653222,0
1.6636469,0
1.6731635,0
1.6864926,0
1.7007049,0
1.7156715,0
1.7327026,0
1.7513421,0
1.7704919,0
1.7923126,0
1.8094751,0
1.8254582,0
1.8413019,0
1.8595601,0
1.877785,0
1.895989,0
1.9125951,0
1.9307034,0
1.9494595,0
1.9680385,0
1.9876029,0
2.0066674,0
2.0290318,0
2.0483004,0
2.0656044,0
2.0835668,0
2.0992188,0
2.1177187,0
2.1355435,0
2.1549142,0
2.1743495,0
2.1958264,0
2.216593,0
2.2373721,0
2.2568448,0
2.2764175,0
2.2964507,0
2.3160381,0
2.3359692,0
2.3558295,0
2.3785043,0
2.398875,0
2.4185644,0
2.4378769,0
2.4599891,0
2.4781036,0
2.4960952,0
2.5135368,0
