CHROMATOGRAM,
wolf_2.raw,
Data points: 2767,
Time,Intensity
0.003668284,0
0.008322282,0
0.011482747,0
0.013805631,0
0.016130613,0
0.018453466,0
0.020776398,0
0.023101381,0
0.025424249,0
0.027749263,0
0.030072164,0
0.032395048,0
0.034720031,0
0.037042947,0
0.039367933,0
0.041690782,0
0.044013714,0
0.046338732,0
0.048661617,0
0.050986599,0
0.053309499,0
0.05563443,0
0.057957398,0
0.060280282,0
0.062603131,0
0.064928165,0
0.067251066,0
0.069576064,0
0.071898932,0
0.074221849,0
0.076546831,0
0.0788697,0
0.081194714,0
0.083517582,0
0.08584055,0
0.088165497,0
0.092669665,0
0.094992514,0
0.097317516,0
0.099640432,0
0.1019654,0
0.10428831,0
0.10661123,0
0.1089362,0
0.11125911,0
0.11358408,0
0.11590695,0
0.1182299,0
0.12055486,0
0.12287778,0
0.12520063,0
0.12752563,0
0.12985272,0
0.13217768,0
0.1345006,0
0.1368235,0
0.1391485,0
0.14147138,0
0.14379638,0
0.14611928,0
0.14844215,0
0.15076925,0
0.15309215,0
0.15541713,0
0.15774003,0
0.16006292,0
0.16238788,0
0.1647108,0
0.1670358,0
0.16935865,0
0.17168368,0
0.17619202,0
0.17851485,0
0.18083986,0
0.18317733,0
0.18550228,0
0.18782521,0
0.19014815,0
0.1924731,0
0.19479598,0
0.197121,0
0.19944388,0
0.20176676,0
0.20409177,0
0.20641463,0
0.20873965,0
0.21106255,0
0.21338547,0
0.21571038,0
0.21803332,0
0.22035625,0
0.22268118,0
0.22500412,0
0.22732913,0
0.229652,0
0.23197486,0
0.23429988,0
0.23662278,0
0.23894775,0
0.24127068,0
0.24359358,0
0.24591855,0
0.24824142,0
0.25056645,0
0.25288935,0
0.25521225,0
0.259706,0
0.26202886,0
0.26435178,0
0.26667675,0
0.26899962,0
0.27132463,0
0.2736538,0
0.27597665,0
0.27830168,0
0.28062456,0
0.28294746,0
0.28527243,0
0.28759535,0
0.28992035,0
0.2922432,0
0.29456613,0
0.2968911,0
0.29921403,0
0.3015369,0
0.30386192,0
0.3061848,0
0.30850978,0
0.3108327,0
0.31315558,0
0.31548058,0
0.31780347,0
0.32012846,0
0.32245133,0
0.32477425,0
0.32709923,0
0.3294221,0
0.33174711,0
0.33406998,0
0.33639288,0
0.33871788,0
0.34321812,0
0.34554285,0
0.34786576,0
0.35018868,0
0.35251365,0
0.35483653,0
0.35716155,0
0.35948445,0
0.36180731,0
0.36414481,0
0.36646978,0
0.36879272,0
0.37111562,0
0.3734406,0
0.37576345,0
0.37808847,0
0.38042595,0
0.38274883,0
0.38507383,0
0.38739675,0
0.38971965,0
0.39204458,0
0.39436753,0
0.396705,0
0.39902998,0
0.4013529,0
0.4036758,0
0.40600078,0
0.40832366,0
0.41064867,0
0.41297155,0
0.41529443,0
0.41761945,0
0.4199423,0
0.42226523,0
0.42676541,0
0.42908805,0
0.43141308,0
0.43373598,0
0.43605885,0
0.4383839,0
0.44070678,0
0.44303176,0
0.44535463,0
0.44767755,0
0.45000255,0
0.45232541,0
0.45464833,0
0.45697328,0
0.45929621,0
0.46162122,0
0.4639441,0
0.466267,0
0.46859196,0
0.47091488,0
0.47323988,0
0.47556277,0
0.47788565,0
0.48021065,0
0.48253351,0
0.48485853,0
0.48718351,0
0.48950848,0
0.4918314,0
0.49415431,0
0.49647928,0
0.49880215,0
0.50112718,0
0.50345011,0
0.50577295,0
0.51027522,0
0.51260002,0
0.51492288,0
0.51724582,0
0.5195708,0
0.52189368,0
0.52421867,0
0.52654157,0
0.52886448,0
0.53118945,0
0.53351233,0
0.5358373,0
0.53816025,0
0.54048523,0
0.54280808,0
0.54513312,0
0.54745601,0
0.549781,0
0.55210386,0
0.5544268,0
0.55675178,0
0.55907466,0
0.56139758,0
0.56372255,0
0.56604543,0
0.56837043,0
0.57069335,0
0.57301625,0
0.57534122,0
0.57767455,0
0.57999742,0
0.58232243,0
0.5846453,0
0.58696823,0
0.58929318,0
0.59378925,0
0.59611396,0
0.59843692,0
0.60076191,0
0.6030848,0
0.60540767,0
0.6077327,0
0.6100556,0
0.61238055,0
0.61470346,0
0.61702636,0
0.61935135,0
0.62167428,0
0.62399921,0
0.62632213,0
0.62864501,0
0.63097002,0
0.63329286,0
0.63561582,0
0.63794082,0
0.6402637,0
0.64258865,0
0.64491158,0
0.64723448,0
0.64955945,0
0.65188237,0
0.65420735,0
0.65653026,0
0.65885313,0
0.66117813,0
0.66350103,0
0.66582392,0
0.66814891,0
0.67047183,0
0.67279677,0
0.67730113,0
0.67962593,0
0.6819488,0
0.68427588,0
0.6865988,0
0.68892378,0
0.69124668,0
0.69356956,0
0.69589451,0
0.69821745,0
0.70054033,0
0.7028653,0
0.70518827,0
0.70751325,0
0.70983612,0
0.71215898,0
0.71448402,0
0.71680692,0
0.71913188,0
0.72145481,0
0.7237777,0
0.7261027,0
0.7284256,0
0.73075058,0
0.73307345,0
0.73539636,0
0.73773386,0
0.74005672,0
0.74238175,0
0.74470465,0
0.74702963,0
0.7493525,0
0.75167541,0
0.75401287,0
0.7585129,0
0.7608358,0
0.76316075,0
0.76548365,0
0.76780865,0
0.77013153,0
0.77245443,0
0.77480025,0
0.77712318,0
0.77944813,0
0.78177103,0
0.78409395,0
0.78641888,0
0.78874183,0
0.7910793,0
0.79340425,0
0.79572718,0
0.79805012,0
0.8003751,0
0.80269795,0
0.805023,0
0.80734587,0
0.80966873,0
0.81199373,0
0.81431665,0
0.83408728,0
0.84214348,0
0.86161837,0
0.8732016,0
0.89017245,0
0.90205347,0
0.91927418,0
0.9362991,0
0.95963432,0
0.98027807,0
0.99751338,0
1.0147403,0
1.03469,0
1.051917,0
1.0691419,0
1.0863522,0
1.1063625,0
1.1289831,0
1.1488601,0
1.1690787,0
1.1890536,0
1.2117242,0
1.2317761,0
1.2520593,0
1.2727488,0
1.2927653,0
1.3051298,0
1.3174589,0
1.3263797,0
1.3318921,0
1.3374067,0
1.3429212,0
1.3508191,0
1.3563336,0
1.3618461,0
1.3660795,0
1.3684023,0
1.3707252,0
1.3730502,0
1.3753731,0
1.3776981,0
1.3800209,0
1.3823439,0
1.3846689,0
1.3869918,0
1.3893167,0
1.3916396,0
1.3939688,0
1.3962917,0
1.3986146,0
1.4009396,0
1.4032625,0
1.4055874,0
1.4079104,0
1.4102333,0
1.4125582,0
1.4148811,0
1.4172061,0
1.419529,0
1.4218519,0
1.426354,0
1.428679,0
1.4310227,0
1.4333456,0
1.4356685,0
1.4379935,0
1.4403164,0
1.4426413,0
1.4449643,0
1.4473059,0
1.4496309,0
1.4519538,0
1.4609495,0
1.4698807,0
1.4820452,0
1.5015097,0
