CHROMATOGRAM,
lion3_spiked_ba5_100000times_1to1_lc1.raw,
Data points: 2967,
Time,Intensity
0.003705914,0
0.008360115,0
0.011682883,0
0.01400783,0
0.016330714,0
0.018653614,0
0.020978597,0
0.023301497,0
0.0256265,0
0.0279494,0
0.030272316,0
0.032597267,0
0.034920183,0
0.037243083,0
0.039568014,0
0.041890982,0
0.044215933,0
0.046538833,0
0.048861749,0
0.051186732,0
0.053509632,0
0.055834614,0
0.058157515,0
0.060480363,0
0.062805382,0
0.065128282,0
0.0674533,0
0.069776165,0
0.072099097,0
0.074424063,0
0.076746932,0
0.07907195,0
0.081394831,0
0.083717699,0
0.086042765,0
0.088365582,0
0.09286973,0
0.095194748,0
0.097517649,0
0.099840549,0
0.10216553,0
0.10448845,0
0.1068113,0
0.10913631,0
0.11145921,0
0.11378417,0
0.1161071,0
0.11843,0
0.120755,0
0.12307788,0
0.12540283,0
0.12772576,0
0.13004865,0
0.13237365,0
0.13469657,0
0.13702156,0
0.13934446,0
0.14166737,0
0.14399235,0
0.14631523,0
0.14864021,0
0.15096308,0
0.153286,0
0.15561517,0
0.15793803,0
0.16026305,0
0.16258595,0
0.16490887,0
0.1672338,0
0.16955673,0
0.17188793,0
0.17638382,0
0.17870672,0
0.18103165,0
0.18335453,0
0.18567745,0
0.18800245,0
0.19032537,0
0.19265031,0
0.19497325,0
0.19729613,0
0.1996211,0
0.20194402,0
0.204269,0
0.20659188,0
0.2089148,0
0.21123973,0
0.2135627,0
0.21588766,0
0.21821055,0
0.22053345,0
0.22285843,0
0.22519176,0
0.22751468,0
0.22983965,0
0.23216257,0
0.23448752,0
0.23681043,0
0.23913333,0
0.2414583,0
0.24378122,0
0.24610621,0
0.24842905,0
0.250752,0
0.25307698,0
0.25539985,0
0.25989782,0
0.26222275,0
0.26454567,0
0.26687063,0
0.26919355,0
0.27152061,0
0.27384347,0
0.27616848,0
0.2785018,0
0.28082473,0
0.28314968,0
0.28547261,0
0.2877955,0
0.29012043,0
0.29244338,0
0.29476627,0
0.29709125,0
0.29941416,0
0.30173915,0
0.30406206,0
0.30638493,0
0.30870993,0
0.31103278,0
0.3133578,0
0.3156807,0
0.31800363,0
0.32032858,0
0.32265146,0
0.32497648,0
0.32729933,0
0.32962228,0
0.33195352,0
0.33427637,0
0.33660143,0
0.33892425,0
0.34343675,0
0.34575965,0
0.34809296,0
0.35042423,0
0.35274711,0
0.35507003,0
0.357395,0
0.3597179,0
0.36204291,0
0.36436575,0
0.36668868,0
0.36902616,0
0.3713491,0
0.37367198,0
0.37599691,0
0.37831985,0
0.38064481,0
0.38296771,0
0.38530315,0
0.38762605,0
0.38995103,0
0.39227393,0
0.39459681,0
0.39692182,0
0.39924471,0
0.4015697,0
0.4038926,0
0.40621548,0
0.40854048,0
0.41086338,0
0.41318833,0
0.41551127,0
0.41783411,0
0.42015915,0
0.422482,0
0.42698205,0
0.429307,0
0.43162988,0
0.43395483,0
0.43627775,0
0.43860067,0
0.44092563,0
0.44324855,0
0.44557145,0
0.44789643,0
0.45022555,0
0.45254846,0
0.45487138,0
0.45719635,0
0.45952552,0
0.46184838,0
0.4641734,0
0.46649628,0
0.46881918,0
0.47114415,0
0.47346706,0
0.47579415,0
0.47811703,0
0.48044203,0
0.48276493,0
0.48508783,0
0.4874128,0
0.48973571,0
0.49206486,0
0.49438776,0
0.49671275,0
0.49903565,0
0.50135855,0
0.5036835,0
0.50600641,0
0.51051056,0
0.51283557,0
0.51515845,0
0.51748345,0
0.51980632,0
0.52212925,0
0.52445418,0
0.52677712,0
0.5291021,0
0.5314271,0
0.53374998,0
0.53607288,0
0.53839786,0
0.54072073,0
0.54304366,0
0.54536868,0
0.54769155,0
0.55001655,0
0.55233943,0
0.55466235,0
0.5569873,0
0.55931022,0
0.5616352,0
0.56395812,0
0.5662935,0
