CHROMATOGRAM,
ba5_1000x_lc1.raw,
Data points: 3064,
Time,Intensity
0.003679664,0
0.008312864,0
0.011635799,0
0.01396075,0
0.01628365,0
0.018608649,0
0.020931497,0
0.023254449,0
0.025579384,0
0.027902316,0
0.030227283,0
0.032550215,0
0.034873115,0
0.037198082,0
0.039520982,0
0.041843898,0
0.044168833,0
0.046491765,0
0.048816768,0
0.051139668,0
0.053462564,0
0.055787566,0
0.058110399,0
0.060435417,0
0.062758318,0
0.065081234,0
0.067406232,0
0.069729101,0
0.072052001,0
0.074376968,0
0.076699884,0
0.079024898,0
0.081347783,0
0.083670667,0
0.085995634,0
0.088318582,0
0.092818665,0
0.095141434,0
0.097466432,0
0.099789317,0
0.10211222,0
0.10443722,0
0.10676012,0
0.10908508,0
0.11140795,0
0.11373085,0
0.11605588,0
0.11837877,0
0.12070375,0
0.12302665,0
0.12534958,0
0.1276745,0
0.12999742,0
0.13232241,0
0.13464531,0
0.13696821,0
0.1392932,0
0.14161613,0
0.14393898,0
0.146264,0
0.14858688,0
0.15091182,0
0.15323477,0
0.15555767,0
0.15788263,0
0.16020557,0
0.16253055,0
0.16485342,0
0.16717632,0
0.16950133,0
0.17182418,0
0.1763202,0
0.17864501,0
0.18096787,0
0.1832929,0
0.18561578,0
0.1879387,0
0.19026368,0
0.19258658,0
0.19490948,0
0.19723443,0
0.19955732,0
0.20188233,0
0.2042052,0
0.20652817,0
0.20885312,0
0.21117603,0
0.213501,0
0.2158239,0
0.21814676,0
0.22047175,0
0.22279471,0
0.2251176,0
0.22744257,0
0.22976547,0
0.23209046,0
0.23441333,0
0.23673622,0
0.23906125,0
0.24138415,0
0.24370911,0
0.24603201,0
0.24835493,0
0.2506799,0
0.2530028,0
0.25532778,0
0.25982177,0
0.26214443,0
0.26446733,0
0.26679233,0
0.26911522,0
0.27144017,0
0.27376307,0
0.27608598,0
0.27841098,0
0.28073592,0
0.28305888,0
0.28538178,0
0.28770672,0
0.29002965,0
0.29235463,0
0.29467755,0
0.29700043,0
0.29932542,0
0.30164835,0
0.30397328,0
0.30629622,0
0.30861912,0
0.31094405,0
0.313267,0
0.31559193,0
0.31791487,0
0.32023777,0
0.3225627,0
0.32488561,0
0.32720851,0
0.32953352,0
0.33185643,0
0.3341814,0
0.3365043,0
0.33882718,0
0.34332523,0
0.345648,0
0.3479709,0
0.35029586,0
0.35261878,0
0.35494168,0
0.35726663,0
0.35958955,0
0.36191453,0
0.3642374,0
0.36656037,0
0.36888533,0
0.37120823,0
0.37353322,0
0.3758561,0
0.37817898,0
0.38050397,0
0.38282688,0
0.38515188,0
0.38747478,0
