CHROMATOGRAM,
ba5_acetyl_100x_lc1.raw,
Data points: 2514,
Time,Intensity
0.003611067,0
0.008300617,0
0.011452583,0
0.013777565,0
0.01610045,0
0.018423298,0
0.020748316,0
0.023071233,0
0.025396199,0
0.027719099,0
0.030041984,0
0.032367018,0
0.034689898,0
0.037014885,0
0.039337801,0
0.041660666,0
0.043985684,0
0.046308584,0
0.048633567,0
0.050956467,0
0.053279367,0
0.055604318,0
0.057927234,0
0.060250134,0
0.062575101,0
0.064898049,0
0.067222968,0
0.069545916,0
0.071868816,0
0.074193799,0
0.076516699,0
0.078841634,0
0.081164582,0
0.083487498,0
0.085812484,0
0.088135365,0
0.092635349,0
0.094960299,0
0.0972832,0
0.099608218,0
0.1019311,0
0.10425401,0
0.106579,0
0.10890185,0
0.11122683,0
0.11354978,0
0.11587268,0
0.11819767,0
0.12052057,0
0.12284345,0
0.12516843,0
0.12749133,0
0.12981633,0
0.13213918,0
0.13446212,0
0.13678713,0
0.13911002,0
0.14143497,0
0.1437579,0
0.14608078,0
0.14840578,0
0.15072868,0
0.15305362,0
0.15537656,0
0.15769946,0
0.16002445,0
0.1623473,0
0.16467023,0
0.16699938,0
0.16932232,0
0.17164727,0
0.17614725,0
0.17847012,0
0.1807951,0
0.18311802,0
0.18544088,0
0.1877659,0
0.19008883,0
0.19241378,0
0.19473663,0
0.19705958,0
0.19938457,0
0.20170745,0
0.20403245,0
0.20635537,0
0.20867826,0
0.21100323,0
0.21332613,0
0.215649,0
0.217974,0
0.22029695,0
0.22262192,0
0.2249448,0
0.22726773,0
0.2295927,0
0.23191556,0
0.23424057,0
0.23656347,0
0.23888633,0
0.24121135,0
0.24353427,0
0.24585925,0
0.24818213,0
0.25050505,0
0.25282998,0
0.2551529,0
0.25966542,0
0.26198828,0
0.2643133,0
0.26663618,0
0.26895903,0
0.27128405,0
0.27360697,0
0.27593197,0
0.27825485,0
0.2805777,0
0.28290273,0
0.28522562,0
0.28755062,0
0.28987352,0
0.29219637,0
0.2945214,0
0.29684431,0
0.29916928,0
0.30149218,0
0.30381508,0
0.30614002,0
0.30846295,0
0.31078586,0
0.31311087,0
0.31543375,0
0.31775875,1374.135498
0.32008163,0
0.3224045,0
0.3247295,0
0.32705242,0
0.32937742,0
0.33170033,0
0.33402322,0
0.33634818,0
0.33867107,0
0.34317318,0
0.345496,0
0.34781893,0
0.35014393,0
0.35246682,0
0.35479182,0
0.3571147,0
0.35943965,0
0.36176257,0
0.36408548,0
0.36640835,0
0.36873338,0
0.37105628,0
0.37338127,0
0.37570413,0
0.37802705,0
0.38035205,0
0.38267497,0
0.38499993,0
0.38732285,0
0.38964573,0
0.3919707,0
0.39429362,0
0.3966186,0
0.39894147,0
0.4012644,0
0.40358935,0
0.40591228,0
0.40823728,0
0.41056017,0
0.41288301,0
0.41520805,0
0.41753095,0
0.41985388,0
0.42217883,0
0.4266788,0
0.42900375,0
0.43132667,0
0.43365167,0
0.43597458,0
0.43829747,0
0.44062248,0
0.44294535,0
0.4452703,0
0.44759323,0
0.44991615,0
0.4522411,0
0.45456403,0
0.45688693,0
0.45921193,0
0.46153482,0
0.46385982,0
0.46618265,0
0.46850556,0
0.47083683,0
0.47315977,0
0.47548472,0
0.47780762,0
