CHROMATOGRAM,
ba5_10000x_lc1.raw,
Data points: 4638,
Time,Intensity
0.003671768,0
0.008278019,0
0.011594569,0
0.013917449,0
0.0162424,0
0.018565316,0
0.020888201,0
0.023213167,0
0.025536067,0
0.027861018,0
0.030183966,0
0.032506882,0
0.034831853,0
0.037154785,0
0.039479736,0
0.041802636,0
0.044125516,0
0.046450503,0
0.048773383,0
0.051098417,0
0.053421318,0
0.05574425,0
0.058069185,0
0.060392049,0
0.062717036,0
0.065039968,0
0.067362884,0
0.06968785,0
0.072010783,0
0.074333667,0
0.076658634,0
0.078981534,0
0.081306485,0
0.083629417,0
0.085952285,0
0.088277268,0
0.092777299,0
0.095100152,0
0.097423036,0
0.099748066,0
0.10207095,0
0.10439592,0
0.10671885,0
0.10904175,0
0.11136674,0
0.1136896,0
0.11601458,0
0.11833752,0
0.12066042,0
0.1229854,0
0.1253083,0
0.12763328,0
0.12995617,0
0.13227905,0
0.13460404,0
0.13692697,0
0.1392499,0
0.14157485,0
0.14389775,0
0.1462227,0
0.14854562,0
0.1508685,0
0.15319352,0
0.15551642,0
0.15784142,0
0.1601643,0
0.16248724,0
0.16481218,0
0.16713507,0
0.16945797,0
0.17178293,0
0.1762913,0
0.17861623,0
0.18093915,0
0.18326205,0
0.18558702,0
0.1879099,0
0.19023493,0
0.19255782,0
0.19488074,0
0.19720572,0
0.1995286,0
0.20185148,0
0.20417647,0
0.2064994,0
0.20882438,0
0.21114728,0
0.21347018,0
0.21579518,0
0.21811805,0
0.22044303,0
0.22276592,0
0.22508885,0
0.22741384,0
0.22973673,0
0.2320596,0
0.23438462,0
0.2367075,0
0.23903252,0
0.24135537,0
0.24367828,0
0.2460033,0
0.24832619,0
0.25065118,0
0.25297403,0
0.25529693,0
0.25979907,0
0.262124,0
0.26444692,0
0.2667698,0
0.26909478,0
0.27141768,0
0.27374264,0
0.27606555,0
0.27838848,0
0.28071343,0
0.28303635,0
0.28535925,0
0.28768423,0
0.29000713,0
0.2923321,0
0.29465498,0
