CHROMATOGRAM,
ba5_100times_dil.raw,
Data points: 2549,
Time,Intensity
0.003694116,0
0.008346016,0
0.011500219,0
0.013825134,0
0.016148066,0
0.018473052,0
0.020795952,0
0.023118869,2301.596436
0.025443851,0
0.027766751,0
0.030091718,0
0.032414618,0
0.034737534,0
0.037062517,0
0.039385401,1722.903442
0.041708333,0
0.0440333,0
0.0463562,0
0.048681203,0
0.051004051,0
0.053326983,0
0.055651934,0
0.057974866,0
0.060299869,0
0.062622753,1521.217896
0.064945649,0
0.067270616,1795.786133
0.069593536,0
0.071918483,0
0.074241419,0
0.076564319,0
0.078889317,0
0.081212202,1794.160767
0.083535086,1696.235596
0.085860101,1289.990723
0.088182969,0
0.092689235,1594.357056
0.095014202,0
0.097337086,0
0.099662085,1524.246948
0.101985,0
0.10430783,0
0.10663287,0
0.10895572,1392.137451
0.11128075,0
0.11360365,0
0.11592657,1595.27124
0.11825155,0
0.1205744,0
0.12289732,0
0.12522228,0
0.1275452,0
0.12987229,0
0.1321952,0
0.13452018,0
0.13684307,0
0.13916807,0
0.14149095,1535.541504
0.14381384,0
0.14613885,0
0.14846172,0
0.15078882,0
0.1531117,0
0.15543669,1590.381836
0.15775957,0
0.16008248,0
0.16240743,1318.027344
0.16473037,0
0.16705745,0
0.16938238,0
0.17170528,0
0.17620967,0
0.17853438,0
0.18085732,0
0.18318233,0
0.18550523,1765.861938
0.18782812,0
0.19015309,0
0.19247599,0
0.19480098,1316.352051
0.19712385,1188.390869
0.19944677,0
0.20177178,0
0.20409467,0
0.20641752,0
0.20874255,0
0.2110654,0
0.21339043,1324.209717
0.2157133,0
0.21803623,0
0.22036122,1578.104614
0.22268412,0
0.2250091,0
0.22733198,0
0.2296549,0
0.23197985,0
0.23430279,1370.9375
0.23662777,0
0.23895068,0
0.24127359,0
0.24359857,0
0.24592145,1496.423706
0.24824642,0
0.25056935,0
0.25289227,0
0.25521723,0
0.25972778,0
0.2620505,0
0.26437337,0
0.2666984,1533.58252
0.26902125,0
0.27134418,0
0.27366918,1863.339478
0.2759921,0
0.27831705,1376.361328
0.28063995,0
0.28296285,0
0.28528785,0
0.28761077,0
0.28994199,2152.697754
0.29226485,0
0.29458988,1883.148804
0.29691277,1456.417969
0.29923567,1635.017578
0.30156064,1717.421631
0.30388355,1552.296021
0.30620645,0
0.30853145,0
0.31085433,0
0.31317933,2457.754883
0.31550223,1748.740967
0.31782509,1278.421143
0.32015012,1858.44812
0.32247297,2523.713379
0.32479802,3059.775635
0.32712715,2662.191895
0.32945213,2047.013062
0.33177502,0
0.3340979,2519.668213
0.33642287,3103.57959
0.33874577,2980.671875
0.34324808,2913.63501
0.34557072,3402.313477
0.34789365,2319.779541
0.35021863,2726.621582
0.35254155,0
0.35486652,1551.877808
0.35718942,2638.04541
0.35951232,2868.170166
0.3618373,2286.776855
0.36416018,3324.533691
0.36648519,2926.886475
0.36880809,2908.304932
0.37113097,2667.90332
0.37345597,1732.696411
0.37577883,2344.49292
0.37810179,2374.5354
0.38042675,1458.907227
0.38274968,3119.161621
0.38507469,2070.318604
0.38739752,0
0.38972045,2641.555176
0.3920454,2339.847412
0.39436832,2521.776855
0.3966933,3277.929688
0.39901622,3688.657959
0.40133913,3314.881104
0.4036641,2906.099609
0.405987,3962.063477
0.40831195,0
0.41063488,3107.143555
0.41295777,2924.748291
0.41528277,2823.576172
0.41760567,3450.471924
0.41993064,3096.602295
0.42225353,2141.217041
0.42675583,0
0.42907845,2848.286621
0.43140347,2194.689697
0.43372639,2126.986328
0.43604929,1663.578857
0.43837427,2587.10376
0.44069715,3418.473389
0.44302007,0
0.44534504,2010.390869
0.44766795,1912.199585
0.44999297,2951.036133
0.45231585,1904.805176
0.45463873,2900.213379
0.45696372,2967.993652
0.45928662,1877.478271
0.46161157,2273.939453
0.4639345,2969.453369
0.46625735,4320.465332
0.46858238,0
0.47090528,2839.477295
0.47323029,3226.224365
0.47555313,1828.754272
0.47787605,2427.888672
0.48020105,4777.24707
0.48252392,2170.571045
0.48484685,1897.646851
0.48717184,3230.901123
0.48949475,2933.008301
0.49181975,2610.866211
0.49414262,3200.524902
0.49646552,1936.841064
0.49879047,3260.806641
0.5011134,2947.024658
0.5034384,2970.306641
0.50576125,3681.898926
0.51025517,3398.544678
0.51258,3147.601807
0.51490288,3481.561279
0.51722582,3124.913086
0.51955077,4264.373047
0.52187368,3751.056152
0.52419867,3349.162354
0.52652157,3038.227295
0.52884447,2652.729736
0.53116942,2973.838379
0.53349235,3068.62085
0.53581728,2261.385254
0.53814022,3198.188477
0.54046313,2508.461426
0.54278807,2536.256836
0.54511102,2834.249023
0.54743599,2044.524292
0.54975888,0
0.55208178,1943.516724
0.55440677,2955.061035
0.55672967,2827.780029
0.55905467,3148.97998
0.56138173,2774.720459
0.5637067,2941.421387
0.56602962,3337.697998
0.56835252,2662.353271
0.5706775,2916.697998
0.57300035,2191.097656
0.57532538,3330.449219
0.57764829,2850.094727
0.5799712,3360.369385
0.58229617,4485.194824
0.58461903,3146.496338
0.58694193,2174.399414
0.5892669,2562.045166
0.59376924,2069.070313
0.59609192,4419.980957
0.59841482,4325.046387
0.60073977,3091.558105
0.60306268,3714.610107
0.60538557,3378.346436
0.60771057,2748.587158
0.61003347,4680.699707
0.61235847,2804.205566
0.61468135,2395.777832
0.61700427,2225.233887
0.61932925,2865.118896
0.6216521,2569.490234
0.62397712,3058.591553
0.62629997,1950.371338
0.62862292,3565.091797
0.6309479,4231.990723
0.63327082,2897.484131
0.63559575,2211.080566
0.63791867,1753.80603
0.64024158,4714.231445
0.64256655,4428.393555
0.64488947,4670.770508
0.64721239,2406.579346
0.64953737,3751.033447
0.65186028,3110.313477
0.65418523,3379.697266
0.65650815,3666.649414
0.65883104,4168.641113
0.66115602,3213.123535
0.66347892,3135.210693
0.6658039,0
0.66812682,2531.554932
0.67044972,4106.307617
0.67277465,3292.837402
0.6772726,4003.446045
0.67959549,1671.381592
0.68192047,2904.203125
0.68424337,3684.143555
0.68656837,0
0.68889125,1881.888672
0.69121412,3398.421143
0.69353913,3703.205322
0.695862,3534.932129
0.69818702,3346.75415
0.70050992,3978.167236
0.70283283,2365.693604
0.7051578,2704.105957
0.7074807,3341.370361
0.7098057,2561.552002
0.71212855,4115.501465
0.71445148,2023.76123
0.7167765,2232.320068
0.71909937,2430.520752
0.72142227,2290.668945
0.72374727,2710.401123
0.72607015,3749.730713
0.7283951,2039.138306
0.73071804,3945.140869
0.73304088,3051.452148
0.73536592,3768.60376
0.73768882,4100.669922
0.74001383,2473.222412
0.74233672,2913.533936
0.74465959,2806.208984
0.74698458,5312.494629
0.74930745,3445.131592
0.75163248,1904.921753
0.75395534,4152.764648
0.75845332,2066.570313
0.76077825,2532.686279
0.76310117,2928.706787
0.7654261,4384.885742
0.76774905,4100.271484
0.77007195,3290.781006
0.77239693,2443.274902
0.77473652,3985.847412
0.7770594,2278.819824
0.77938437,3609.456787
0.78170725,3617.836182
0.78404267,3522.832031
0.78636555,3674.150879
0.78869055,3862.116699
0.79102597,3116.562744
0.7933509,2465.864746
0.79567387,3039.492676
0.7979988,3749.51001
