CHROMATOGRAM,
lion3_spiked_ba5_100times_1to1_lc1.raw,
Data points: 3195,
Time,Intensity
0.0035995,0
0.008234782,0
0.011551451,0
0.013874331,0
0.016199282,0
0.018522198,0
0.020845098,0
0.023170049,1514.185913
0.025492981,0
0.027817916,0
0.030140864,0
0.032463748,0
0.034788751,0
0.037111647,0
0.039436618,0
0.041759534,0
0.044082398,0
0.046407401,0
0.048730317,0
0.051055299,0
0.053378184,0
0.055701084,0
0.058026067,0
0.060348951,0
0.062671867,0
0.06499685,0
0.067319782,0
0.069644748,0
0.071967665,2187.336914
0.074290549,0
0.076615516,0
0.078938432,0
0.081263382,0
0.083586314,0
0.085909183,0
0.088234217,0
0.0927404,0
0.095065398,0
0.097388267,0
0.099713317,0
0.1020362,0
0.10435908,0
0.10668406,0
0.10900698,0
0.11133193,2077.109131
0.11365482,0
0.11597775,0
0.11830275,0
0.12062565,0
0.12295063,0
0.1252735,0
0.12759642,1455.050293
0.12992138,1691.89563
0.1322443,0
0.13456716,0
0.13689218,0
0.13921508,1380.634155
0.14154007,0
0.14386297,0
0.14618587,0
0.14851085,0
0.15083373,0
0.15315873,0
0.15548165,0
0.15780453,0
0.16012953,0
0.16245243,0
0.1647774,0
0.16710028,0
0.1694232,0
0.17174815,0
0.17624841,0
0.17857311,0
0.18089605,1471.293213
0.18321895,0
0.18554397,1257.427856
0.18786685,0
0.19018973,1530.032837
0.19251473,0
0.19483763,0
0.19716262,0
0.19948552,0
0.20180842,0
0.20413337,0
0.2064563,0
0.20878128,0
0.21110415,0
0.2134271,1733.232544
0.21575208,0
0.21807498,1480.828857
0.22039992,0
0.22272287,0
0.22504575,0
0.22737073,0
0.22969363,0
0.23201653,1879.074097
0.23434153,0
0.2366644,0
0.2389894,1585.401489
0.24131226,0
0.2436352,1899.019287
0.2459602,0
0.24828308,0
0.25060807,0
0.25293097,0
0.25525385,0
0.25975615,0
0.26208088,1541.587158
0.26440377,0
0.2667288,0
0.26905167,0
0.27137458,0
0.27369953,0
0.27602248,0
0.27834537,0
0.28067035,0
0.28299328,0
0.28531825,0
0.28764113,0
0.28996402,0
0.29228901,0
0.29461187,0
0.2969369,0
0.2992598,0
0.30158272,0
0.30390768,0
0.30623058,0
0.30855348,0
0.31087842,0
0.31320137,1737.244507
0.31552635,0
0.31784921,0
0.32017215,1826.461182
0.32249713,0
0.32482003,0
0.327145,0
0.32946792,0
0.33179083,0
0.3341158,0
0.33643867,0
0.33876367,0
0.34326796,0
0.34559071,0
0.34791358,0
0.3502386,0
0.3525615,0
0.3548865,1477.57373
0.35720938,0
0.35953228,1522.508911
0.36185728,0
0.36418013,0
0.36650518,0
0.36882807,0
0.37115097,0
0.37347595,0
0.37579882,0
0.37812383,0
0.3804467,0
0.38276962,0
0.38509461,0
0.3874175,0
0.3897404,1390.407715
0.39206542,0
0.39438828,0
0.39671326,0
0.39903618,0
0.40135906,0
0.40368407,0
0.40600698,0
0.40833197,0
0.41065487,0
0.41297775,0
0.41530275,0
0.41762562,0
0.41995065,0
0.42227353,0
0.42679248,0
0.42911513,0
0.43144011,0
0.433763,0
0.43608593,1565.929321
0.43841092,1815.795898
0.4407338,0
0.44305878,0
0.4453817,0
0.44770455,0
0.45002955,0
0.45235247,0
0.45467741,0
0.45700035,0
0.45932325,1215.886475
0.46164822,0
0.46397115,0
0.46629612,0
0.46861903,0
0.47094188,0
0.4732669,0
0.4755898,0
0.4779148,0
0.48023768,0
0.48256058,0
0.48488558,0
0.48720845,0
0.48953137,0
0.49185637,0
0.49417925,0
0.49650423,1918.012451
0.49882713,0
0.50115005,0
0.50347498,0
0.50579788,1364.347046
0.51029398,1427.241943
0.51261872,1431.495483
0.51494162,0
0.51726661,1383.069946
0.51958948,0
0.52191238,0
0.52423733,0
0.52656027,0
0.52888525,0
0.53120816,0
0.53353106,0
0.53585605,0
0.53817895,2045.394043
0.54050182,0
0.54282683,1671.483154
0.54514973,0
0.54747472,0
0.54979765,0
0.55212053,0
0.5544455,0
0.55676838,0
0.55909338,0
0.56141625,0
0.56373916,0
0.56606417,2084.224609
0.56838707,0
0.57070997,0
0.57303495,1525.938354
0.57535785,0
0.5776828,0
0.58000573,0
0.58232863,0
0.58465363,0
0.58697648,0
0.58930147,0
0.5938016,0
0.59612645,0
0.59844936,0
0.60077435,1322.646973
0.60309725,0
0.60542017,0
0.60774513,0
0.61006801,0
0.61239302,0
0.61471587,1371.763062
0.61703882,0
0.61936378,0
0.62168672,0
0.62401168,0
0.62633455,0
0.62865748,0
0.63098241,0
0.63330537,0
0.63563035,1481.547485
0.63795325,1350.322266
0.64027615,0
0.64260115,1993.996948
0.64492402,0
0.64724692,1505.056641
0.64957191,1573.854858
0.65189483,0
0.6542198,0
0.6565427,0
0.65886561,0
0.66119058,0
0.66351346,0
0.66583847,0
0.66816133,0
0.67048425,0
0.67498425,0
0.67730713,0
0.67963213,0
0.68195503,0
0.68427788,0
0.6866029,0
0.6889258,0
0.6912508,0
0.6935737,2065.490723
0.69589658,0
0.69822157,1963.067139
0.70054445,0
0.70286736,0
0.70519237,0
0.70751525,0
0.70984025,0
0.7121631,0
0.71448603,0
0.71681103,0
0.71913392,0
0.72145887,0
0.7237818,1310.761963
0.7261047,0
0.72842967,0
0.73075258,0
0.7330776,0
0.73540048,0
0.73772335,0
0.74004838,0
0.74237126,1628.496094
0.74469416,0
0.74701917,0
0.74934207,0
0.75166707,0
0.7539899,0
0.75848787,1590.43103
0.76081072,0
0.7631399,1652.822388
0.7654628,0
0.76778777,0
0.77011067,0
0.77243357,0
0.7747585,0
0.77708145,0
0.77940642,0
0.78172935,0
0.78405225,0
0.78637721,0
0.78870013,0
0.79102507,0
0.793348,0
0.7956709,0
0.79799585,0
0.8003188,0
0.80264168,0
0.80496667,0
0.80728956,0
0.80961455,2268.784912
0.81193747,0
0.81426035,0
0.81658953,3463.413574
0.81891241,0
0.82123738,0
0.82356028,0
0.82588527,0
0.82820813,0
0.83053106,1921.984741
0.83285813,0
0.83518313,0
0.83750598,0
0.84200601,2704.617188
0.84433095,0
0.84665387,2346.820801
0.84898927,0
0.8513122,0
0.85363715,3274.11792
0.85596007,1604.369263
0.85828297,0
0.86060792,0
0.86293085,0
0.86525582,0
0.86757872,0
0.86990997,1948.30603
0.87223287,0
0.87455783,0
0.87688072,0
0.87920365,0
0.8815286,0
0.88385153,0
0.8861765,0
0.88849941,0
0.8908244,0
0.8931473,0
0.89547018,0
0.89779515,0
0.90011812,0
0.90244307,2018.980103
0.90476595,0
0.9070972,0
0.90942012,0
0.91174508,0
0.91406795,0
0.91963458,0
0.92514917,0
0.93645945,0
0.94537397,3241.128174
0.95429681,0
0.95981136,0
0.96388848,2071.544434
0.96621135,0
0.96853636,0
0.97085925,2689.497559
0.97318215,0
0.97550713,0
0.97783,0
0.98015503,0
0.98247788,0
0.98801325,0
0.99354238,0
0.999059,0
1.0045757,1997.454834
1.0124756,0
1.0179901,0
1.0235088,0
1.0324213,0
1.0413337,0
1.0502628,0
1.0591774,0
1.0634108,0
1.0657336,0
1.0680585,0
1.0703814,0
1.0727044,0
1.0750293,0
1.0773522,0
1.0796772,0
1.0820001,0
1.084323,0
1.086648,0
1.0921938,0
1.1001104,0
1.1056395,1682.045776
1.1111708,0
1.1154103,0
1.1177353,0
1.1200582,0
1.1223811,0
1.1247061,0
1.1270289,0
1.1293539,0
1.1316768,0
1.1339998,0
1.1363247,0
1.1386476,0
1.1409726,1753.607788
1.1432955,0
1.1456184,0
1.1479434,0
1.1502663,0
1.1525975,0
1.1549204,0
1.1572454,0
1.1595683,0
1.1618912,1896.564941
1.1642162,1921.585938
1.1665391,0
1.1688641,0
1.171187,0
1.1756849,0
1.1780078,1851.53894
1.1803327,0
1.1826556,0
1.1849807,0
1.1873036,0
1.1896265,0
1.1919514,0
1.1942743,0
1.1965993,0
1.1989222,0
1.2012451,0
1.2035701,0
1.205893,0
1.2082159,0
1.2105409,0
1.2128638,0
1.2151888,0
1.2175116,0
1.2198345,0
1.2221658,0
1.2244887,0
1.2268137,0
1.2291366,0
1.2314616,0
1.2337844,0
1.2361074,0
1.2384323,0
1.2407552,0
1.2430781,0
1.2454031,0
1.247726,0
1.250051,0
1.2523739,0
1.2546968,0
1.259201,1619.82959
1.2615239,0
1.2638488,0
1.2661717,0
1.2684967,0
1.2708196,0
1.2731425,0
1.2754675,0
1.2777904,0
1.2801154,0
1.2824383,0
1.2847612,0
1.2870861,0
1.2894091,0
1.291732,0
1.294057,0
1.2963799,2012.221924
1.2987048,0
1.3010277,0
1.3033506,0
1.3056756,0
1.3079985,0
1.3103235,0
1.3126464,0
1.3149693,0
1.3172943,0
1.3196172,0
1.3219422,0
1.324265,0
1.326588,0
1.328913,0
1.3312359,0
1.3335588,0
1.3358837,0
1.3382066,0
1.3427066,0
1.3450316,0
1.3473545,0
1.3496774,0
1.3520024,0
1.3543253,1969.950684
1.3566482,0
1.3589732,0
1.3612961,0
1.363621,0
1.3659439,0
1.3682669,0
1.3705918,0
1.3729147,0
1.3752397,1637.891724
1.3775626,0
1.3798855,0
1.3822105,0
1.3845334,0
1.3868584,0
1.3891813,0
1.3915042,0
1.3938292,0
1.3961521,0
1.398477,0
1.4008,0
1.4031229,0
1.4054479,0
1.4077707,0
1.4100936,0
1.4124186,0
1.4147415,0
1.4170665,0
1.4193936,0
1.4217165,0
1.4262185,0
1.4285435,0
1.4308664,0
1.4331893,0
1.4355185,0
1.4378435,0
1.4401663,0
1.4424893,0
1.4448142,0
1.4471371,0
1.4527016,0
1.4582183,0
1.4637328,0
1.4692473,0
1.474764,0
1.4802869,0
1.4858056,0
1.494718,0
1.5036492,0
1.5091617,0
1.5170658,0
1.5225782,0
1.5280948,0
1.5336177,0
1.5501074,0
1.5578467,0
1.5663592,0
1.5752987,0
1.5876465,0
1.6036173,0
1.6222296,0
1.6377462,0
1.654944,0
1.6751438,0
1.6985457,0
1.7189227,0
1.73946,0
1.7602039,0
1.7835245,0
1.8038118,0
1.8243886,0
1.845101,0
1.8684404,0
1.8891319,0
1.9098401,4052.855957
1.9305672,7579.996094
1.9539816,0
1.9747397,0
1.9954499,0
2.0161415,0
2.0361601,0
2.0534663,33726.88281
2.0736099,18159.5918
2.0937764,23842.32617
2.1172076,9123.113281
2.1378906,44706.63281
2.1585926,86458.28906
2.1759049,21349.44141
2.1959318,4612.754395
2.2132463,2653.26001
2.2305463,0
2.2478421,0
2.2651481,0
2.2851666,0
2.3024602,0
2.3231726,0
2.3438956,0
2.3673453,0
2.3880617,0
2.4053679,0
2.4226719,0
2.4427031,0
2.4600112,9942.40918
2.4723757,297969.4063
2.4896777,867756.3125
2.5069757,389380
2.5267712,113709.1172
2.5475316,29701.97266
2.5683334,8768.754883
2.5891103,5764.90918
2.6123372,4191.68457
2.6295309,4044.174561
2.6502871,3166.691895
2.6676225,0
2.6883764,2419.348389
2.6997033,0
2.7121157,0
2.7329468,0
2.7537531,3024.996094
2.7737966,0
2.7910382,0
2.8033671,3129.350586
2.8157045,0
2.8280378,0
2.840444,2637.534668
2.8555105,0
2.8678563,0
2.8882457,0
2.9090872,0
2.9265038,0
2.9465745,0
2.9554952,0
2.9678826,0
2.9802846,0
2.9892741,0
3.0065928,0
3.0217156,0
3.0341551,0
3.0465883,0
3.0555778,0
3.0611007,0
3.0700694,0
3.0790381,0
3.0914672,0
3.1115505,0
3.1284315,0
3.1490189,0
3.1683146,0
3.1877124,0
3.2080976,0
3.2254288,0
3.2427391,0
3.2609514,0
3.2799117,5000.019531
3.2963907,0
3.3172595,0
3.3381574,0
3.3529903,0
3.3654423,0
3.3744694,0
3.391911,0
3.40099,0
3.4099295,0
3.4223898,0
3.4349356,0
3.4467418,0
3.4558208,0
3.4614187,0
3.4670166,0
3.4709791,0
3.4763832,0
3.4816416,0
3.4859144,0
3.4983747,0
3.5158914,0
3.5310578,0
3.5431453,0
3.5519494,0
3.5608785,0
3.5732117,0
3.5821242,0
3.5910345,0
3.5993969,2457.051758
3.6049094,0
3.6138656,0
3.6228134,0
3.6317696,0
3.64073,0
3.6496966,0
3.6586611,0
3.6676319,0
3.6731777,0
3.6780175,3842.015381
3.6803402,0
3.6826651,2483.346436
3.6882609,0
3.6938088,0
3.7027379,0
3.7150691,0
3.7240023,0
3.7357418,0
3.7548668,0
3.7709229,0
3.7832457,0
3.7922831,0
3.8049122,0
3.8148225,0
3.8343953,0
3.8500702,0
3.8684013,0
3.8868074,0
3.9052407,0
3.9229447,0
3.9453862,0
3.9615486,0
3.9808485,0
4.0006922,0
4.0211692,0
4.0448357,0
4.0658061,0
4.0748165,0
4.0873122,0
4.1082144,0
4.1234078,0
4.132437,0
4.1380182,0
4.1435994,0
4.1491826,0
4.1547659,0
4.1603472,0
4.1659263,0
4.1715075,0
4.1763408,0
4.181922,0
4.1859886,0
4.1915699,0
4.1958095,0
4.1981323,0
4.2004573,0
4.2027802,0
4.2051031,0
4.2074281,0
4.209751,0
4.2120739,0
4.2177301,0
4.2219614,0
4.2242842,0
4.2266092,0
4.2289321,0
4.231255,0
4.233605,0
4.2359279,0
4.2382529,0
4.2405758,0
4.2429008,0
4.2452237,0
4.2475465,0
4.2498716,0
4.2521944,0
4.2545173,0
4.2593528,0
4.2616777,0
4.2640006,0
4.2663235,0
4.2686485,0
4.2709714,0
4.2733235,0
4.2756484,0
4.2779713,0
4.2802963,0
4.2826192,0
4.2882817,0
4.2938816,0
4.2994649,0
4.3035378,0
4.3090524,0
4.3130023,0
4.3214586,0
4.3357459,0
4.3477292,0
4.3629082,0
4.3753561,0
4.3843351,0
4.3933247,0
4.4023018,0
4.4065455,0
4.4088683,0
4.4111933,0
4.4135162,0
4.4158392,0
4.4181641,0
4.420487,0
4.4249851,0
4.4273078,0
4.4296307,0
4.4319557,0
4.4342786,2439.402588
4.4366036,0
4.4389265,0
4.4412494,2626.692627
4.4435785,0
4.4459035,0
4.4482264,0
4.4505493,0
4.4528743,0
4.4551972,0
4.4575222,0
4.4598847,2259.347168
4.4622076,0
4.4645305,0
4.4668554,0
4.4691783,0
4.4715033,0
4.4738262,2085.948486
4.4761491,0
4.4784741,0
4.4808387,0
4.4831637,0
4.4854866,0
4.4878115,0
4.4901344,0
4.4924573,0
4.4947823,0
4.4971136,0
4.4994385,0
4.5017614,0
4.5040864,2149.30249
4.5085905,0
4.5109155,2110.695313
4.5132655,0
4.5155905,0
4.5179134,0
4.5202363,0
4.5225613,0
4.5248841,0
4.530532,2996.913818
4.535807,0
4.5405278,0
4.5452507,0
4.5499778,0
4.5543277,0
4.5616423,0
4.568763,0
4.5728692,0
4.5809129,0
4.5890608,0
4.6002503,0
4.6058336,0
4.6114148,0
4.6204356,0
4.6294626,0
4.6350459,0
4.640625,0
4.6462083,0
4.6517874,0
4.6573853,0
4.6629665,0
4.6670332,2596.19165
4.6693561,0
4.671681,0
4.6761832,0
4.678506,0
4.6808289,0
4.683154,0
4.6854768,0
4.6910934,0
4.7001038,0
4.7123016,0
4.7244661,0
4.7452515,0
4.7655908,0
4.7802865,0
4.8003572,0
4.808828,0
4.8174571,0
4.8299049,0
4.838884,0
4.8444653,0
4.8527735,0
4.858361,0
4.8639422,0
4.8695255,0
4.8751067,0
4.8791692,0
4.8814942,0
4.8838171,0
4.8861504,0
4.8884733,0
4.8907983,0
4.8931212,0
4.8954441,0
4.897769,0
4.900092,0
4.902419,0
4.904744,0
4.9103711,0
4.9146045,0
4.9169272,0
4.9294542,0
4.9410666,0
4.9584438,0
4.9759102,0
4.9849601,0
4.99401,0
5.0030662,0
5.0086496,0
5.0134808,0
5.0190328,0
5.0245952,0
5.0334827,0
5.0453993,0
5.0543638,0
5.0633345,0
5.0688824,0
5.0744282,0
5.0834261,0
5.103101,0
5.1173862,0
5.1384363,0
5.1510339,0
5.156613,0
5.1621755,0
5.1664152,0
5.168738,0
5.1743567,0
5.1826275,0
5.1948524,0
5.2158814,0
5.2248813,0
5.2304292,0
5.2359771,0
5.241527,0
5.247075,0
5.2513188,0
5.2568353,0
5.2613396,0
5.2636644,0
5.2659873,0
5.2683102,0
5.2706352,0
5.2729581,0
5.2752831,0
5.277606,0
5.2799289,0
5.2822538,0
5.2845768,0
5.2868997,0
5.2892246,0
5.291585,0
5.2939079,0
5.2962329,0
5.2985558,0
5.3008788,0
5.3032037,0
5.3055266,0
5.3078891,0
5.310212,0
5.312537,0
5.3148599,0
5.3171828,0
5.3195077,0
5.3218307,0
5.3241556,0
5.3264785,0
5.3288014,0
5.3311265,2531.972168
5.3334493,0
5.3390451,0
5.3435535,0
5.3458784,0
5.3482013,0
5.3505492,0
5.3528721,2127.189941
5.3551971,3126.114014
5.35752,2830.633789
5.3598429,0
5.3621679,3805.203857
5.3677449,0
5.3732636,0
5.3774991,0
5.3798219,0
5.3821448,0
5.3844698,0
5.3867927,0
5.3891177,2061.061279
5.3914406,0
5.3937635,0
5.3960885,2340.541748
5.4016886,0
5.4059301,0
5.408253,0
5.4105779,0
