CHROMATOGRAM,
ba5_100x_lc1.raw,
Data points: 2599,
Time,Intensity
0.003693751,0
0.008304047,0
0.011626914,0
0.013951917,0
0.016274765,0
0.018599784,0
0.020922684,0
0.023245532,0
0.025570567,1257.637329
0.027893467,0
0.030216383,0
0.032541366,0
0.034864266,0
0.037189201,0
0.039512117,0
0.041835033,0
0.044160031,0
0.046482932,0
0.048807898,0
0.051130783,1174.387817
0.053453683,0
0.055778666,0
0.058101633,0
0.060426564,0
0.06274948,0
0.065072381,0
0.067397367,0
0.069720248,0
0.072043164,0
0.074368114,0
0.076691015,0
0.079016017,0
0.081338933,0
0.083661834,0
0.0859868,0
0.0883097,0
0.092807566,0
0.095132581,0
0.097455497,0
0.099778381,0
0.10210338,0
0.10442628,0
0.10675121,0
0.10907415,0
0.11139705,0
0.11372205,0
0.11604493,0
0.11836992,0
0.12069283,0
0.12301572,0
0.1253407,0
0.12766362,0
0.12998853,1162.380249
0.1323115,0
0.13463646,0
0.13695933,0
0.13928435,0
0.14160726,0
0.14393221,0
0.14625513,0
0.14857803,0
0.15090303,0
0.15322591,0
0.15555092,0
0.15787382,0
0.16019668,0
0.16252168,0
0.16484458,0
0.16716748,0
0.16949247,0
0.17181952,0
0.17633006,0
0.17865277,0
0.1809778,0
0.18330065,0
0.1856236,0
0.1879486,0
0.19027148,0
0.19259647,0
0.19491937,0
0.19724225,0
0.19956721,0
0.20189013,0
0.20421305,1340.707764
0.20653805,0
0.20886093,0
0.21118593,1326.712158
0.2135088,0
0.21583173,0
0.2181567,0
0.2204796,0
0.22280458,0
0.22512748,0
0.22745038,0
0.22977535,0
0.23209828,0
0.23442322,0
0.23674612,0
0.23906903,0
0.24139407,0
0.24371693,0
0.24603981,0
0.24836482,0
0.25068771,0
0.25301268,0
0.25533562,0
0.25983581,1925.727173
0.26215848,0
0.26448342,0
0.26680633,0
0.26912926,0
0.27145425,0
0.27377713,0
0.27610212,0
0.27842503,0
0.28074795,0
0.28307292,0
0.28539582,0
0.28771866,0
0.29004367,0
0.2923666,0
0.29469158,0
0.29701448,0
0.2993374,0
0.3016624,0
0.30398525,0
0.30631022,0
0.30863316,0
0.31095605,0
0.31328105,0
0.31560395,0
0.31792893,0
0.32025181,0
0.32257473,0
0.32489973,1581.054077
0.32722258,0
0.3295455,0
0.33187052,0
0.3341934,0
0.33651833,0
0.33884127,0
0.34334968,0
0.34567246,0
0.34799538,1528.194458
0.35032037,1200.162354
0.35264325,0
0.35496617,0
0.3572911,0
0.359614,0
0.36193902,0
0.36426193,0
0.36658485,0
0.36890982,0
0.37123272,0
0.37355768,0
0.37588055,0
0.37820351,0
0.38052848,1184.491577
0.38285137,0
0.38517636,0
0.38749922,0
0.38982215,0
0.39214715,0
0.39447,0
0.39679498,0
0.39911791,0
0.40144083,0
0.40376583,0
0.4060887,0
0.40841165,0
0.41073656,0
0.41305948,0
0.41538448,0
0.41770738,0
0.42003027,0
0.42235521,0
0.42685536,0
0.42918016,0
0.43150313,0
0.4338281,0
0.436151,0
0.4384739,0
0.4407989,0
0.44312178,0
0.4454468,0
0.44776963,0
0.45009253,0
0.45241755,0
0.45474045,0
0.45706547,0
0.45938833,1186.359253
0.4617112,0
0.46403621,0
0.46635911,0
0.46868201,0
0.471007,0
0.47332988,0
0.47565492,0
0.47797782,0
0.48030068,0
0.4826257,0
0.4849486,0
0.48727353,0
0.48959647,0
0.49192145,0
0.49424436,0
0.49656933,0
0.49889227,0
0.50121512,0
0.50354008,0
0.50586301,0
0.51036322,0
0.51268587,0
0.51501083,0
0.51733372,0
0.51965665,0
0.52198165,0
0.52430455,0
0.52662951,0
0.52895243,0
0.53127535,0
0.53360031,0
0.5359232,0
0.53824822,0
0.54057106,0
0.542894,0
0.545219,0
0.5475419,0
0.54986476,0
0.55218975,0
0.55451262,0
0.55683761,0
0.55916055,0
0.56148345,0
0.56380842,0
0.56613133,0
0.56845632,0
0.57077918,0
0.57310208,0
0.5754271,0
0.57775,0
0.58007288,0
0.58239788,0
0.58472078,0
0.58704573,0
0.58936863,0
0.59386678,0
0.59618945,0
0.59851237,0
0.6008373,0
0.60316023,0
0.60548313,0
0.6078081,1438.405762
0.61013098,0
0.612456,0
0.61477892,0
0.61710182,0
0.61942678,0
0.62174971,0
0.62407465,0
