CHROMATOGRAM,
za7_spiked_ba5std_diluted100times_lc1.raw,
Data points: 2255,
Time,Intensity
0.003569964,0
0.008222031,0
0.011359381,0
0.013684332,0
0.016007216,0
0.01833018,0
0.020655146,0
0.022978063,0
0.025303033,0
0.027625949,0
0.02994885,0
0.032273796,0
0.034596748,0
0.036921699,0
0.039244615,0
0.041567531,0
0.043892498,0
0.046215382,0
0.048538283,0
0.050863249,0
0.05318615,0
0.05551118,0
0.057834064,0
0.06015698,0
0.062481963,0
0.064804863,0
0.067129814,0
0.069452714,0
0.071775666,0
0.074100633,0
0.076423513,0
0.078746397,0
0.081071432,0
0.083394316,0
0.085719283,0
0.088042147,0
0.092544297,0
0.094869263,0
0.097192148,0
0.099515032,0
0.10184001,0
0.1041629,0
0.1064879,0
0.10881083,0
0.11113371,0
0.11345872,0
0.11578156,0
0.11810656,0
0.12042946,0
0.12275236,0
0.12507738,0
0.12740027,0
0.12972526,0
0.13204816,0
0.13437107,0
0.13669603,0
0.13901893,0
0.14134388,0
0.14366683,0
0.14598975,0
0.14831471,0
0.15063761,0
0.15296256,0
0.15528551,0
0.15760838,0
0.15993333,0
0.1622563,0
0.16457918,0
0.16690418,0
0.16922703,0
0.17155201,0
0.17604573,0
0.17837078,0
0.18069368,0
0.18301657,0
0.18534156,0
0.18766445,0
0.18998943,0
0.19231232,0
0.19463525,0
0.19696025,0
0.19928315,0
0.20160808,0
0.20393103,0
0.20625388,0
0.2085789,0
0.21090178,0
0.21322675,0
0.2155497,0
0.21787258,0
0.22019757,0
0.2225205,0
0.22484545,0
0.22716835,0
0.22949123,0
0.23181623,0
0.23413915,0
0.23646205,0
0.23878705,0
0.24110993,0
0.24343487,0
0.24575781,0
0.24808067,0
0.2504057,0
0.25272856,0
0.25505355,0
0.2595598,0
0.26188478,0
0.26420765,0
0.26653058,0
0.26885558,0
0.27117848,0
0.27350347,0
0.27582637,0
0.27814925,0
0.28047423,0
0.28279711,0
0.28512215,0
0.28744502,0
0.28976795,0
0.29209293,0
0.29441581,0
0.29674081,0
0.29906368,0
0.30138657,0
0.3037116,0
0.3060345,0
0.3083595,0
0.31068238,0
0.3130053,0
0.31533027,0
0.31765313,0
0.31997813,0
0.32230108,0
0.32462397,0
0.32694895,0
0.3292718,0
0.33159473,0
0.33391972,0
0.3362426,0
0.3385676,0
0.34306555,0
0.34539048,0
0.3477134,0
0.35003835,0
0.35236123,0
0.35468413,0
0.35700915,0
0.35933208,0
0.36165703,0
0.36397995,0
0.36630286,0
0.3686278,0
0.37095071,0
0.37327568,0
0.37559861,0
0.37792155,0
0.3802465,0
0.3825694,0
0.3848944,0
0.38721725,0
0.38954016,0
0.39186518,0
0.39418807,0
0.39651101,0
0.39883596,0
0.40115886,0
0.40348385,0
0.40580672,0
0.40812962,0
0.41045463,0
0.41277753,0
0.41510248,0
0.41742541,0
0.41974833,0
0.42207326,0
0.42657115,0
0.42889622,0
0.43121908,0
0.43354408,0
0.43586698,0
0.43818985,0
0.44051483,0
0.44283771,0
0.44516065,0
0.44748566,0
0.44980856,0
0.4521335,0
0.45445642,0
0.4567793,0
0.4591043,0
0.46142716,0
0.46375221,0
0.4660751,0
0.468398,0
0.470723,0
0.47304588,0
0.47537086,0
0.47769375,0
0.48001663,0
0.48234168,0
0.48466455,0
0.48698746,0
0.48931245,0
0.49163535,0
0.4939603,0
0.4962832,0
0.49860613,0
0.50093112,0
0.50325403,0
0.50557897,0
0.51008103,0
0.51240603,0
0.5147289,0
0.51705391,0
0.51937685,0
0.52169973,0
0.52402472,0
0.52634763,0
0.52867258,0
0.53099548,0
0.53331835,0
0.53564338,0
0.53796625,0
0.54028915,0
0.54261418,0
0.54493708,0
0.54726205,0
0.54958493,0
0.55190786,0
0.55423285,0
0.55655575,0
0.55888071,0
0.56120363,0
0.5635265,0
0.56585148,0
0.56817437,0
0.57049938,0
0.57282228,0
0.57514518,0
0.57747016,0
0.57979303,0
0.58211803,0
0.58444091,0
0.58676381,0
0.58908878,0
0.59360758,0
0.59593052,0
0.59825335,0
0.60057833,0
0.60290122,0
0.60522623,0
0.60754911,0
0.60987203,0
0.61219701,0
0.61451991,0
0.6168428,0
0.61916778,0
0.62149066,0
0.62381568,0
0.62613858,0
0.62846148,0
0.63078648,0
0.63310937,0
0.63543435,0
0.63775723,0
0.64008011,0
0.64240515,0
0.64472805,0
0.64705305,0
0.64937593,0
0.65169883,0
0.65402381,0
0.6563467,0
0.65867172,0
0.6609946,0
0.66331751,0
0.66564245,0
0.66796538,0
0.67028828,0
0.67261323,0
0.67710705,0
0.6794299,0
0.68175488,0
0.6840778,0
0.6864007,0
0.68872567,0
0.69104853,0
0.69337352,0
0.6956965,0
0.69801936,0
0.70034433,0
0.70266725,0
0.70499221,0
0.7073151,0
0.70963801,0
0.71196301,0
0.71428591,0
0.7166109,0
0.7189338,0
0.72125672,0
0.72358166,0
0.72590456,0
0.72822745,0
0.73055247,0
0.73287538,0
0.73520035,0
0.73752328,0
0.73984617,0
0.74217113,0
0.74449402,0
0.746819,0
0.74914193,0
0.75146486,0
0.75378981,0
0.75829416,0
0.76061683,0
0.76294181,0
0.76526475,0
0.76758972,0
0.76991263,0
0.77223555,0
0.77456051,0
0.7768834,0
0.7792084,0
0.78153127,0
0.78385418,0
0.78617918,0
0.78850208,0
0.79082498,0
0.79314993,0
0.79547286,0
0.79779783,0
0.80012073,0
0.80244367,0
0.80476865,0
0.80709153,0
0.80941655,0
0.81173943,0
0.81406233,0
0.81638728,0
0.81871022,0
0.82103521,0
0.82335808,0
0.84171427,0
0.85944743,0
0.875089,0
0.89156597,0
0.90745337,0
0.9233491,0
0.94106355,0
0.95691553,0
0.97330708,0
0.98917575,0
1.0058319,0
1.023888,0
1.0403462,0
1.0568503,0
1.0726856,0
1.0889605,0
1.1071124,0
1.1239498,0
1.1406601,0
1.157835,0
1.1747807,0
1.1920744,0
1.2100534,0
1.2284304,0
1.2470094,0
1.265853,0
1.2876654,0
1.3066694,0
1.3258151,0
1.3447421,0
1.3660336,0
1.3842398,0
1.4023938,0
1.4205458,0
1.4386915,0
1.4568309,0
1.4749641,0
1.4929661,0
1.5096952,0
1.5247597,0
1.5341575,0
1.5429138,0
1.5518699,0
1.5611969,0
1.5723052,0
1.5842176,0
1.5964175,0
1.6119174,0
1.6254965,0
1.6422109,0
1.6608671,0
1.6779565,0
1.6970564,0
1.7098209,0
1.7213188,0
1.7356291,0
1.7465812,0
1.7561248,0
1.7690164,0
1.7814642,0
1.7957766,0
1.8116744,0
1.8271202,0
1.842693,0
1.862695,0
1.8809052,0
1.8987946,0
1.9172299,0
1.9367298,0
1.9589109,0
1.9783295,0
1.9965127,0
2.0151189,0
2.0361958,118094.1172
2.0556415,162715.6406
2.075106,66555.39844
2.0946663,0
2.1169994,24456.85742
2.1365951,16087.02734
2.15592,0
2.1730595,0
2.1930781,0
2.2116092,0
2.2305633,0
2.2489965,0
2.2657089,0
2.2840838,0
2.3006399,0
2.3167794,57423.79297
2.3352022,271047.25
2.3538812,157137.8281
2.3754269,151509.8281
2.394908,501352.875
2.4142537,1193575
2.431989,508843.4375
2.4515493,341901.0313
2.4689971,165427.2344
2.487247,96394.78125
2.5066427,0
2.5287467,0
2.5472632,0
2.5631965,0
2.5807068,0
2.5987504,0
2.6210023,0
2.6404959,0
2.6600625,0
2.6797061,0
2.6994559,0
2.7194496,0
2.7393078,0
2.7592806,0
2.7815638,0
2.8011907,0
2.820951,0
2.8405384,0
2.8630362,0
2.8828735,0
2.9025296,0
2.9222503,0
2.9446064,0
2.9637313,0
2.9827561,0
3.002306,0
3.0201955,0
3.0385308,0
3.0577515,0
3.0753764,0
3.0910325,0
3.1086428,0
3.125151,0
3.1424218,0
3.16003,0
3.1774965,0
3.1982922,0
3.2175067,0
3.237117,0
3.2566064,0
3.2784896,0
3.2979957,0
3.3176185,0
3.3373642,0
3.3570703,0
3.3767889,0
3.3964347,0
3.4160491,0
3.4356803,0
3.4580842,0
3.4778445,0
3.4974319,0
3.5171943,0
3.5366712,0
3.5563065,0
3.5757293,0
3.5953875,0
3.6166061,0
3.6365205,0
3.6565496,0
3.6764432,0
3.6991411,0
3.7153679,0
3.7351824,0
3.7549052,0
3.7769092,0
3.7944091,0
3.811534,0
3.8292693,0
3.8460671,0
3.8665503,0
3.8849189,0
3.9000688,0
3.9110104,0
3.9223353,0
3.9366436,0
3.9509539,0
3.9661288,0
3.9833683,0
4.0018056,0
4.0185035,0
4.0395033,0
4.0559761,0
4.0732989,0
4.0905009,0
4.1105361,0
4.1290423,0
4.1485046,0
4.1682962,0
4.1880732,0
4.2105813,0
4.230427,0
4.2420665,0
4.2620601,0
4.2846579,0
4.3044994,0
4.3244243,0
4.3443138,0
4.3634511,0
4.3834989,0
4.4033217,0
4.4230466,0
4.445411,0
4.4646255,0
4.4756837,0
4.4860253,0
4.4973044,0
4.5090856,0
4.5255688,0
4.5410583,0
4.5570249,0
4.5757934,0
4.59546,0
4.6176598,0
4.6363097,0
4.6535471,0
4.6719679,0
4.6943968,0
4.7137363,0
4.7310216,0
4.7463402,0
4.7631172,0
4.7803421,0
4.7957732,0
4.809644,0
4.8247793,0
4.8399105,0
4.8580895,0
4.8756352,0
4.894133,0
4.9128933,0
4.9321786,0
4.9503326,0
4.9665846,0
4.9839782,0
5.0017657,0
5.0187301,0
5.0372237,0
5.0554153,0
5.0723422,0
5.087113,0
5.1011129,0
5.1131982,0
5.1235315,0
5.1349481,0
5.1479439,0
5.1632499,0
5.1795373,0
5.1984893,0
5.2151934,0
5.2331974,0
5.2517265,0
5.2703367,0
5.2922949,0
5.3122302,0
5.3322009,0
5.35198,0
5.3736402,0
5.3920442,0
5.4106255,0
5.4290649,0
5.447571,0
5.4662083,0
5.4862126,0
5.5059602,0
5.5283726,0
5.5474266,0
5.5665118,0
5.5860846,0
5.6060491,0
5.6176906,0
5.6343134,0
5.6544133,0
5.6710778,0
5.6933341,0
5.7135129,0
5.7337961,0
5.7542877,0
5.7768208,0
5.7960583,0
5.8086644,0
5.8201352,0
5.8317726,0
5.8470766,0
5.8659432,0
5.883341,0
5.9022367,0
5.9220365,0
5.9423802,0
5.9628321,0
5.982759,0
6.0025819,0
6.0247004,0
6.0420462,0
6.0594106,0
6.0769814,0
6.0949,0
6.1156498,0
6.1351185,0
6.15471,0
6.1741786,0
6.1961806,0
6.213345,0
6.2315407,0
6.2498635,0
6.2683572,0
6.2891216,0
6.3081715,0
6.3281047,0
6.3481733,0
6.3682065,0
6.3877418,0
6.4058729,0
6.4214854,0
6.4381498,0
6.4525372,0
6.4683059,0
6.485012,0
6.5021014,0
6.5200722,0
6.5411575,0
6.5603552,0
6.5801801,0
6.6003031,0
6.6234633,0
6.6441487,0
6.6559088,0
6.6678045,0
6.6799482,0
6.694271,0
6.7137521,0
6.732379,0
6.7493998,0
6.7675622,0
6.7872933,0
6.8044973,0
6.821866,0
6.8393263,0
6.8600199,0
6.8785551,0
6.898355,0
6.9186299,0
6.9389715,0
6.9621817,0
6.9828732,0
7.0037733,0
7.0276168,0
7.039477,0
7.0603791,0
7.0812142,0
7.101985,0
7.1251035,0
7.1456055,0
7.1663324,0
7.1833908,0
7.2067553,0
7.2271697,0
7.2479174,0
7.2686214,0
7.2919732,0
7.3123169,0
7.3325709,0
7.3529041,0
7.3752165,0
7.3937934,0
7.4125829,0
7.4315557,0
7.4543076,0
7.4743699,0
7.4948406,0
7.5066823,0
7.5213654,0
7.5384862,0
7.5591735,0
7.5765109,0
7.585465,0
7.5975587,0
7.61764,0
7.6349293,0
7.6472896,0
7.6562541,0
7.6684082,0
7.6876081,0
7.7052413,0
7.7187329,0
7.7318891,0
7.7482703,0
7.7656389,0
7.7855888,0
7.8033532,0
7.8221739,0
7.8418425,0
7.8647361,0
7.8853547,0
7.905667,0
7.9259461,0
7.9469586,0
7.9675877,0
7.9879915,0
8.0083081,0
8.0319891,0
8.0443849,0
8.0566494,0
8.0769055,0
8.097466,0
8.1207887,0
8.1410488,0
8.1611029,0
8.1811423,0
8.2041151,0
8.2243587,0
8.2449482,0
8.2656251,0
8.2893499,0
8.3068269,0
8.3236684,0
8.3354142,0
8.3522016,0
8.375591,0
8.3878159,0
8.4086408,0
8.4295261,0
8.4529488,0
8.4650133,0
8.4824153,0
8.5032526,0
8.520213,0
8.5399524,0
8.5520481,0
8.5691501,0
8.5813896,0
8.6017478,0
8.6164185,0
8.6370455,0
8.6577643,0
8.6781536,0
8.6982744,0
8.7154408,0
8.7325407,0
8.7533052,0
8.7739011,0
8.7887549,0
8.7974673,0
8.8178922,0
8.8384358,0
8.8534712,0
8.8621378,0
8.8676669,0
8.8718002,0
8.8741231,0
8.8764481,0
8.878771,0
8.8810959,0
8.8834189,0
8.8857418,0
8.8880689,0
8.8903918,0
8.8927167,0
8.8950396,0
8.8973625,0
8.8996875,0
8.9052499,0
8.9108353,0
8.9150645,0
8.9173895,0
8.9197124,0
8.9284811,0
8.9433518,0
8.9524726,0
8.9580538,0
8.963635,0
8.9677038,0
8.9700266,0
8.9723516,0
8.9746745,0
8.9837994,0
8.9893619,0
8.9949244,0
8.9989994,0
9.0013243,0
9.0036472,0
9.0059722,0
9.0108079,0
9.0131306,0
9.0154555,0
9.0210325,0
9.0265992,0
9.0306556,0
9.0329783,0
9.0353012,0
9.0376262,0
9.0399491,0
9.0422741,0
9.0445969,0
9.050199,0
9.0557469,0
9.0612968,0
9.066851,0
9.0723988,0
9.0779509,0
9.0834967,0
9.0877218,0
9.0925508,0
9.0948758,0
9.0971987,0
9.0995216,0
9.1018633,0
9.1041861,0
9.1065111,0
9.108834,0
9.111157,0
9.1134819,0
9.1158048,0
9.1181298,0
9.1204527,0
9.1227839,0
9.1251069,0
9.1274318,0
9.1297547,0
9.1320777,0
9.1344026,0
9.1367255,0
9.139063,0
9.1413859,0
9.1437109,0
9.1460338,0
9.1483588,0
9.1506817,0
9.1530046,0
9.1553296,0
9.1576525,0
9.1599774,0
9.1623004,0
9.1646233,0
9.1669482,0
9.1692711,0
9.171594,0
9.176094,0
9.1784169,0
9.1807398,0
9.1830648,0
9.1853877,0
9.1877126,0
9.1900355,0
9.192371,0
9.1946939,0
9.1970189,0
9.1993418,0
9.2016647,0
9.2039896,0
9.2063125,0
9.20865,0
9.210973,0
9.2132979,0
9.2156208,0
9.2179437,0
9.2202687,0
9.2225916,0
9.2249145,0
9.2272395,0
9.2295687,0
9.2318915,0
9.2342165,0
9.2365394,0
9.2388623,0
9.2411873,0
9.2435102,0
9.2458436,0
9.2481664,0
9.2504914,0
9.2528143,0
9.2551372,0
9.2596455,0
9.2619685,0
9.2642934,0
9.2666163,0
9.2689392,0
9.2712642,0
