CHROMATOGRAM,
ba_5_std_diluted100times_lc1.raw,
Data points: 2338,
Time,Intensity
0.003554065,0
0.008249735,0
0.011393534,0
0.013716383,0
0.01604135,0
0.018364266,0
0.020689284,0
0.0230122,0
0.0253351,0
0.027660083,0
0.029982983,0
0.032305832,0
0.034630818,0
0.036953782,0
0.039278733,0
0.041601669,0
0.043924549,0
0.046249532,0
0.0485724,0
0.050897399,0
0.053220335,0
0.055543183,0
0.057868202,0
0.060191118,0
0.062516084,0
0.064838969,0
0.067161901,0
0.069486832,0
0.071809752,0
0.074134719,0
0.076457651,0
0.078780583,0
0.081105549,0
0.083428465,0
0.085751302,0
0.088076285,0
0.092576352,0
0.094899216,0
0.097224199,0
0.099547067,0
0.10186997,0
0.10419497,0
0.10651787,0
0.10884078,0
0.11116577,0
0.11348865,0
0.11581367,0
0.11813655,0
0.12045943,0
0.1227844,0
0.1251073,0
0.12743233,0
0.12975523,0
0.13207813,0
0.13440313,0
0.136726,0
0.13905098,0
0.14137387,0
0.1436968,0
0.1460218,0
0.14834467,0
0.15066967,0
0.15299253,0
0.15531543,0
0.15764042,0
0.15996333,0
0.1622862,0
0.1646112,0
0.16693412,0
0.16925905,0
0.17158197,0
0.176084,0
0.17840693,0
0.18073194,0
0.18306527,0
0.18539023,0
0.18771315,0
0.19003812,0
0.192361,0
0.19468392,0
0.19700892,0
0.19933182,0
0.2016568,0
0.2039797,0
0.2063026,0
0.20862757,0
0.2109505,0
0.21327548,0
0.21559833,0
0.21792127,0
0.22024625,0
0.22256913,0
0.2248941,0
0.22721703,0
0.22953992,0
0.2318649,0
0.23418783,0
0.23651073,0
0.2388357,0
0.24115862,0
0.24348363,0
0.24580648,0
0.24812938,0
0.25045442,0
0.25277733,0
0.25510223,0
0.25960017,0
0.26192513,0
0.26424802,0
0.26657095,0
0.2688959,0
0.27121884,0
0.27354382,0
0.27586673,0
0.27818962,0
0.2805146,0
0.28283747,0
0.28516037,0
0.2874854,0
0.28981037,0
0.29213327,0
0.29445829,0
0.29678122,0
0.29910405,0
0.30142903,0
0.30375195,0
0.30607695,0
0.30839985,0
0.31072275,0
0.31304777,0
0.3153706,0
0.31769562,0
0.32001847,0
0.32234137,0
0.32466638,0
0.32698928,0
0.32931428,0
0.33163718,0
0.33396008,0
0.33628503,0
0.33860793,0
0.34311838,0
0.34544127,0
0.34776625,0
0.35008912,0
0.3524141,0
0.35473698,0
0.35705993,0
0.35938492,0
0.36170782,0
0.3640328,0
0.36635572,0
0.36868067,0
0.37100357,0
0.37332648,0
0.37565143,0
0.37797438,0
0.38029935,0
0.38262435,0
0.38494724,0
0.38727013,0
0.3895951,0
0.39191802,0
0.39424303,0
0.39656592,0
0.39888882,0
0.4012138,0
0.4035367,0
0.40586167,0
0.40818457,0
0.41050748,0
0.41283248,0
0.41515537,0
0.41748037,0
0.41980322,0
0.42212613,0
0.42664098,0
0.42896358,0
0.43128652,0
0.43361152,0
0.43593437,0
0.43825732,0
0.44058228,0
0.44290515,0
0.44523015,0
0.44755307,0
0.44987598,0
0.45220095,0
0.45452387,0
0.45684885,0
0.45917174,0
0.46149463,0
0.46381963,0
0.46614253,0
0.46846752,0
0.47079042,0
