Reaction Code,Compound name,Supplementary Figure
BA35_Cnmr_edit1,"Cholyl-1,3-diaminopropane",S12
BA35_Hnmr_edit1,"Cholyl-1,3-diaminopropane",S12
BA38_Cnmr_edit1,Chenodeoxycholyl-spermidine,S23
BA38_Hnmr_edit1,Chenodeoxycholyl-spermidine,S23
BA39_Cnmr_edit1,Cholyl-cadaverine,S18
BA39_Hnmr_edit1,Cholyl-cadaverine,S18
BA40_Cnmr_edit1,Chenodeoxycholyl-cadaverine,S19
BA40_Hnmr_edit1,Chenodeoxycholyl-cadaverine,S19
BA41_Cnmr_edit1,Cholyl-putrescine,S14
BA41_Hnmr_edit1,Cholyl-putrescine,S14
BA42_Cnmr_edit1,Chenodeoxycholyl-putrescine,S15
BA42_Hnmr_edit1,Chenodeoxycholyl-putrescine,S15
BA47_Cnmr_edit1,Cholyl-N-acetyl-cadaverine,S20
BA47_Hnmr_edit1,Cholyl-N-acetyl-cadaverine,S20
BA52_Cnmr_edit1,Cholyl-spermidine,S22
BA52_Hnmr_edit1,Cholyl-spermidine,S22
BA63_Cnmr_edit1,Cholyl-N-acetyl-putrescine,S16
BA63_Hnmr_edit1,Cholyl-N-acetyl-putrescine,S16
BA64_Cnmr_edit1,Chenodeoxycholyl-N-acetyl-putrescine,S17
BA64_Hnmr_edit1,Chenodeoxycholyl-N-acetyl-putrescine,S17
BA77_Cnmr_edit1,"Chenodeoxycholyl-1,3-diaminopropane",S13
BA77_Hnmr_edit1,"Chenodeoxycholyl-1,3-diaminopropane",S13
BA78_Cnmr_edit1,Chenodeoxycholyl-N-acetyl-cadaverine,S21
BA78_Hnmr_edit1,Chenodeoxycholyl-N-acetyl-cadaverine,S21
